,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2008-09,23,POR,NBA,SG,78,1993,5%,93%,2%,,,+5.6,-1.3,55,10,42,2,40,19,361,11,11
2009-10,24,POR,NBA,SG,62,1441,4%,88%,8%,,,+0.3,-5.8,41,10,35,9,28,20,275,7,12
2010-11,25,POR,NBA,SG,78,1821,15%,84%,1%,,,+1.8,+0.5,62,11,61,5,56,11,439,9,15
2011-12,26,DEN,NBA,SG,31,710,7%,70%,23%,,,+4.5,+1.5,24,7,14,0,16,13,168,3,5
Career,,,NBA,,249,5965,8%,86%,6%,,,+3.0,-1.5,182,38,152,16,140,63,1243,30,43
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,POR,NBA,,218,5255,8%,88%,3%,,,+2.8,-1.9,158,31,138,16,124,50,1075,27,38
1 season,,DEN,NBA,,31,710,7%,70%,23%,,,+4.5,+1.5,24,7,14,0,16,13,168,3,5
