Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1975-76,22,TOT,NBA,C,37,268,14.3,0.45,NA,0.43,8.8,18.2,13.2,10.8,1.3,3,NA,NA,NA,0.1,0.4,0.5,0.089,NA,-0.8,0.8,-0.1,0.2
1975-76,22,CLE,NBA,C,4,9,-6.5,0,NA,0,0,11.8,5.7,0,0,0,NA,NA,NA,0,0,0,-0.176,NA,-4.9,-0.2,-5.1,0
1975-76,22,CHI,NBA,C,33,259,15,0.459,NA,0.44,9.1,18.4,13.4,11.2,1.3,3.1,NA,NA,NA,0.2,0.4,0.5,0.098,NA,-0.7,0.8,0.1,0.2
1976-77,23,CHI,NBA,C,5,61,10,0.353,NA,0.733,15.2,12.1,13.7,12.8,0.8,2.7,NA,NA,NA,-0.1,0.1,0,0.004,NA,-3.8,0,-3.9,0
1979-80,26,BOS,NBA,PF,56,431,14.4,0.497,0,0.34,10.5,14.3,12.4,8.7,1.8,1.6,10.2,18.1,NA,0.5,0.6,1.2,0.133,NA,0.2,0.6,0.8,0.3
1980-81,27,BOS,NBA,C,45,279,11,0.521,0,0.38,12.4,12.9,12.7,4.7,1,1.4,17.8,16.4,NA,0.1,0.3,0.5,0.079,NA,-1.9,-0.6,-2.4,0
1981-82,28,BOS,NBA,C,43,202,8.1,0.458,0,0.612,6.7,16,11.5,4.8,1.2,1.9,17.3,14.9,NA,-0.1,0.3,0.2,0.047,NA,-3.6,0.4,-3.2,0
1983-84,30,NYK,NBA,PF,32,402,9.6,0.62,0,0.654,8.8,17.2,13,3.5,1.9,1.2,22.1,8.9,NA,0.3,0.7,1,0.118,NA,-1.5,1.6,0.1,0.2
Career,NA,,NBA,,218,1643,11.7,0.498,0,0.447,9.8,15.5,12.6,6.8,1.5,1.8,15.3,14.4,NA,1,2.4,3.3,0.098,NA,-1.4,0.6,-0.7,0.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,BOS,NBA,,144,912,12,0.497,0,0.399,10.2,14.2,12.3,6.6,1.4,1.6,13.8,16.9,NA,0.6,1.3,1.9,0.097,NA,-1.3,0.2,-1.1,0.3
2 seasons,NA,CHI,NBA,,38,320,14.1,0.441,NA,0.485,10.3,17.2,13.5,11.5,1.2,3,NA,NA,NA,0.1,0.4,0.5,0.08,NA,-1.3,0.6,-0.6,0.2
1 season,NA,NYK,NBA,,32,402,9.6,0.62,0,0.654,8.8,17.2,13,3.5,1.9,1.2,22.1,8.9,NA,0.3,0.7,1,0.118,NA,-1.5,1.6,0.1,0.2
1 season,NA,CLE,NBA,,4,9,-6.5,0,NA,0,0,11.8,5.7,0,0,0,NA,NA,NA,0,0,0,-0.176,NA,-4.9,-0.2,-5.1,0
