Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Marcus Fizer,,1.4,1.1,0.5,0.4,0,-0.7,NA,NA
Hilton Armstrong,68.9,1.5,1.2,0.5,0.5,0.3,-0.1,NA,NA
Gary Gregor,68.7,1.4,1.1,0.8,0.5,0.5,-0.4,NA,NA
Steve Green,67.1,1.2,1.1,0.7,0.4,NA,NA,NA,NA
Chris Johnson,65.4,1.4,1.1,0.8,0.2,NA,NA,NA,NA
Fred Saunders,63.0,1.3,1.2,0.5,0.1,NA,NA,NA,NA
Jarell Martin,62.5,1.3,0.8,0.6,0.5,NA,NA,NA,NA
John Thomas,62.0,1.5,0.9,0.4,0.4,0,NA,NA,NA
Bill Hosket,59.6,1,1,0.6,0.5,NA,NA,NA,NA
Anthony Miller,59.5,1.2,1.2,0.8,0.6,0,0,0,-0.1
Tellis Frank,58.2,2,1.1,0.6,0.3,0.1,NA,NA,NA
