Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,22,IND,NBA,PG,80,65,2486,6.3,13.4,0.47,0,0.1,0,6.3,13.3,0.472,3.8,4.9,0.767,2.1,2.5,4.7,3.6,1.4,0.1,2.9,3.4,16.3
1985-86,23,IND,NBA,PG,80,77,2870,5.5,10.8,0.506,0,0.1,0.167,5.5,10.7,0.508,3.3,4.4,0.745,1.3,3.6,4.8,6.3,1.6,0.1,2.6,2.9,14.2
1986-87,24,IND,NBA,PG,82,82,2549,5.2,10.3,0.509,0,0.1,0.2,5.2,10.1,0.513,3.4,4.3,0.788,1.5,3.2,4.7,6.7,1.5,0.3,2.4,3.1,13.8
1987-88,25,IND,NBA,PG,80,80,2733,5.8,11.1,0.523,0,0.2,0,5.8,11,0.531,3,3.7,0.802,1.4,3.4,4.8,7.5,1.5,0.1,2.3,3,14.6
1988-89,26,IND,NBA,PG,76,69,2552,5.9,11.5,0.515,0,0.3,0.13,5.9,11.2,0.526,3.4,4.3,0.799,1.2,3.2,4.4,7,1.1,0.2,2.7,3,15.3
1989-90,27,IND,NBA,PG,82,82,2876,5.8,11.5,0.508,0.2,0.4,0.353,5.7,11.1,0.514,2.9,3.7,0.782,1.5,2.6,4,7.6,1.2,0.1,2.6,2.7,14.7
1990-91,28,IND,NBA,PG,69,45,1929,6.6,12.5,0.531,0.1,0.3,0.222,6.6,12.2,0.539,3,4.1,0.729,1.5,2.4,4,6.9,1.4,0.2,2.6,2.2,16.4
1991-92,29,IND,NBA,PG,82,6,1737,6.1,12.6,0.482,0.1,0.6,0.222,6,12.1,0.494,2.7,3.7,0.737,1.4,2.9,4.3,5.5,1.2,0.1,2.9,2.8,15
1992-93,30,IND,NBA,PG,75,8,1503,6.7,13.3,0.505,0.2,0.9,0.194,6.5,12.4,0.527,3.4,4.7,0.726,1.5,2.5,4,5.4,1.5,0.2,2.9,3,17
1993-94,31,IND,NBA,PG,55,5,1053,5,10.9,0.462,0,0.1,0,5,10.7,0.468,2.2,3,0.736,0.9,3.3,4.2,5.9,1.4,0.2,3,3.4,12.2
1994-95,32,IND,NBA,PG,55,1,686,4.9,9.9,0.495,0,0.4,0,4.9,9.5,0.514,3.4,4.7,0.722,1,3.6,4.6,5.7,1.4,0.1,2.3,4.2,13.2
1995-96,33,NJN,NBA,PG,77,3,1747,4.7,10.8,0.433,0.1,0.6,0.107,4.6,10.2,0.452,2.7,3.6,0.751,1,2.5,3.5,5.3,0.8,0.1,2.5,2.4,12.2
Career,NA,,NBA,,893,523,24721,5.8,11.6,0.498,0.1,0.3,0.181,5.7,11.3,0.507,3.1,4.1,0.764,1.4,3,4.4,6.3,1.3,0.2,2.6,2.9,14.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11 seasons,NA,IND,NBA,,816,520,22974,5.9,11.6,0.503,0.1,0.3,0.192,5.8,11.4,0.511,3.2,4.2,0.765,1.5,3,4.5,6.3,1.4,0.2,2.6,3,14.9
1 season,NA,NJN,NBA,,77,3,1747,4.7,10.8,0.433,0.1,0.6,0.107,4.6,10.2,0.452,2.7,3.6,0.751,1,2.5,3.5,5.3,0.8,0.1,2.5,2.4,12.2
