Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2003-04,26,SEA,NBA,SF,54,0,469,7.2,15.8,0.453,3.9,10.5,0.37,3.3,5.3,0.617,2.6,3,0.885,1.4,5,6.4,2.7,1.8,0.5,0.8,5.7,20.8,NA,127,110
2004-05,27,POR,NBA,SG,43,0,499,6,15,0.4,3.3,8.6,0.388,2.7,6.4,0.417,2.2,2.7,0.84,1.8,4.7,6.5,3.2,1.6,0.4,1.5,3.7,17.6,NA,114,110
2005-06,28,TOT,NBA,SG,33,0,342,6.2,15.9,0.39,3.6,11.1,0.329,2.5,4.8,0.533,1.1,1.6,0.7,0.5,4.8,5.2,3.3,0.6,0.3,1.3,4.8,17.1,NA,106,109
2005-06,28,MIN,NBA,SG,25,0,225,5.8,15.6,0.369,3.6,11.5,0.313,2.2,4.1,0.529,0.7,1.2,0.6,0.7,4.8,5.5,3.6,0.7,0.5,1,5.3,15.9,NA,105,108
2005-06,28,HOU,NBA,SG,8,0,117,7,16.3,0.429,3.7,10.3,0.364,3.3,6.1,0.538,1.9,2.3,0.8,0,4.7,4.7,2.8,0.5,0,1.9,3.7,19.6,NA,108,109
2007-08,30,LAC,NBA,SG,10,2,163,6.4,17.3,0.37,2.2,8,0.28,4.2,9.3,0.448,0,0.6,0,1.3,3.2,4.5,2.6,0.6,0,1.9,2.2,15,NA,85,114
Career,NA,,NBA,,140,2,1473,6.5,15.7,0.411,3.4,9.7,0.356,3,6,0.5,1.9,2.3,0.81,1.3,4.6,6,3,1.3,0.4,1.3,4.4,18.2,NA,113,110
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,SEA,NBA,,54,0,469,7.2,15.8,0.453,3.9,10.5,0.37,3.3,5.3,0.617,2.6,3,0.885,1.4,5,6.4,2.7,1.8,0.5,0.8,5.7,20.8,NA,127,110
1 season,NA,POR,NBA,,43,0,499,6,15,0.4,3.3,8.6,0.388,2.7,6.4,0.417,2.2,2.7,0.84,1.8,4.7,6.5,3.2,1.6,0.4,1.5,3.7,17.6,NA,114,110
1 season,NA,MIN,NBA,,25,0,225,5.8,15.6,0.369,3.6,11.5,0.313,2.2,4.1,0.529,0.7,1.2,0.6,0.7,4.8,5.5,3.6,0.7,0.5,1,5.3,15.9,NA,105,108
1 season,NA,LAC,NBA,,10,2,163,6.4,17.3,0.37,2.2,8,0.28,4.2,9.3,0.448,0,0.6,0,1.3,3.2,4.5,2.6,0.6,0,1.9,2.2,15,NA,85,114
1 season,NA,HOU,NBA,,8,0,117,7,16.3,0.429,3.7,10.3,0.364,3.3,6.1,0.538,1.9,2.3,0.8,0,4.7,4.7,2.8,0.5,0,1.9,3.7,19.6,NA,108,109
