Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2011-12,22,SAC,NBA,PG,61,7,1135,7.7,19.9,0.386,3.5,9.6,0.361,4.2,10.3,0.409,1.8,2.1,0.833,0.8,2.5,3.3,4.8,1.3,0.1,3,3.3,20.6,NA,100,114
2012-13,23,SAC,NBA,SG,69,0,967,9.1,21.7,0.421,3.4,8.3,0.417,5.7,13.4,0.423,4.5,5.2,0.859,1,2.8,3.8,4.9,1.6,0.2,3.6,3.4,26.2,NA,106,115
2013-14,24,TOT,NBA,SG,49,0,519,10.5,22.4,0.471,3.9,8.3,0.476,6.6,14.1,0.469,1.9,2.1,0.905,0.8,4.3,5.1,6.3,1.4,0.3,4.7,3.4,26.9,NA,105,110
2013-14,24,SAC,NBA,SG,41,0,463,10.3,21.8,0.475,4,8,0.493,6.4,13.7,0.464,1.9,2.1,0.895,0.8,4.2,4.9,6.7,1.5,0.3,4.8,3.1,26.5,NA,106,111
2013-14,24,CHI,NBA,SG,8,0,56,12.4,27.6,0.448,3.8,10.5,0.364,8.6,17.1,0.5,1.9,1.9,1,1,5.7,6.7,2.9,0,0,3.8,6.7,30.4,NA,97,106
2014-15,25,NOP,NBA,PG,50,0,509,6.5,17.1,0.38,0.9,5,0.188,5.6,12.2,0.458,4.4,4.6,0.956,0.8,3.3,4.1,6,1.5,0.2,3.4,4.4,18.4,NA,97,111
2015-16,26,TOT,NBA,SG,6,0,18,5.6,13.9,0.4,2.8,5.6,0.5,2.8,8.3,0.333,11.1,13.9,0.8,0,0,0,2.8,2.8,0,5.6,5.6,25,NA,94,111
2015-16,26,NOP,NBA,SG,4,0,13,3.8,15.3,0.25,0,3.8,0,3.8,11.4,0.333,0,0,NA,0,0,0,3.8,3.8,0,3.8,3.8,7.6,NA,51,109
2015-16,26,NYK,NBA,SG,2,0,5,10.3,10.3,1,10.3,10.3,1,0,0,NA,41.1,51.4,0.8,0,0,0,0,0,0,10.3,10.3,72,NA,151,116
2018-19,29,PHO,NBA,SG,6,0,65,5.9,21.3,0.276,0,9.5,0,5.9,11.8,0.5,4.4,4.4,1,0.7,4.4,5.1,5.9,2.2,0,3.7,3.7,16.2,NA,75,117
Career,NA,,NBA,,241,7,3213,8.3,20.4,0.409,3.1,8.3,0.372,5.3,12.1,0.434,3.1,3.6,0.879,0.8,3,3.9,5.3,1.5,0.2,3.6,3.5,22.9,NA,102,113
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SAC,NBA,,171,7,2565,8.7,20.9,0.416,3.6,8.8,0.402,5.1,12.1,0.426,2.8,3.3,0.855,0.9,2.9,3.8,5.2,1.5,0.2,3.6,3.3,23.8,NA,103,114
2 seasons,NA,NOP,NBA,,54,0,522,6.4,17.1,0.376,0.9,4.9,0.184,5.5,12.2,0.455,4.3,4.5,0.956,0.8,3.2,4,5.9,1.6,0.2,3.4,4.4,18.1,NA,96,111
1 season,NA,CHI,NBA,,8,0,56,12.4,27.6,0.448,3.8,10.5,0.364,8.6,17.1,0.5,1.9,1.9,1,1,5.7,6.7,2.9,0,0,3.8,6.7,30.4,NA,97,106
1 season,NA,PHO,NBA,,6,0,65,5.9,21.3,0.276,0,9.5,0,5.9,11.8,0.5,4.4,4.4,1,0.7,4.4,5.1,5.9,2.2,0,3.7,3.7,16.2,NA,75,117
1 season,NA,NYK,NBA,,2,0,5,10.3,10.3,1,10.3,10.3,1,0,0,NA,41.1,51.4,0.8,0,0,0,0,0,0,10.3,10.3,72,NA,151,116
