Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1975-76,22,PHI,NBA,SG,3,NA,62,8.4,21.3,0.393,NA,NA,NA,8.4,21.3,0.393,7.6,9.9,0.769,0.8,0,0.8,3.8,2.3,0,NA,4.6,24.4,NA,NA,106
1976-77,23,PHI,NBA,SG,15,NA,281,10,27.1,0.371,NA,NA,NA,10,27.1,0.371,8.4,12.3,0.688,1.6,3.5,5.1,4.6,1.9,1.3,NA,5.3,28.5,NA,NA,101
1977-78,24,PHI,NBA,SG,10,NA,268,8.4,20.4,0.411,NA,NA,NA,8.4,20.4,0.411,9.7,13.3,0.728,1.6,3.5,5.1,6.1,0.7,1,4.3,4.3,26.5,NA,102,103
1984-85,31,CLE,NBA,SG,4,4,150,12.9,29.3,0.441,0,1.3,0,12.9,28,0.461,7.2,7.9,0.92,1.3,1.9,3.1,9.8,1.9,0,1.9,3.8,33.1,NA,115,114
1987-88,34,HOU,NBA,SG,2,0,12,0,8.4,0,0,4.2,0,0,4.2,0,0,0,NA,4.2,4.2,8.4,4.2,0,0,12.6,8.4,0,NA,21,117
Career,NA,,NBA,,34,4,773,9.7,24.4,0.398,0,1.5,0,9.7,24.1,0.403,8.5,11.5,0.74,1.5,2.9,4.4,6,1.5,0.8,2,4.6,27.9,NA,106,105
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,PHI,NBA,,28,NA,611,9.1,23.5,0.388,NA,NA,NA,9.1,23.5,0.388,8.9,12.5,0.713,1.5,3.1,4.7,5.2,1.4,1,1.9,4.8,27.2,NA,102,103
1 season,NA,CLE,NBA,,4,4,150,12.9,29.3,0.441,0,1.3,0,12.9,28,0.461,7.2,7.9,0.92,1.3,1.9,3.1,9.8,1.9,0,1.9,3.8,33.1,NA,115,114
1 season,NA,HOU,NBA,,2,0,12,0,8.4,0,0,4.2,0,0,4.2,0,0,0,NA,4.2,4.2,8.4,4.2,0,0,12.6,8.4,0,NA,21,117
