Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,22,GSW,NBA,C,75,18,12.7,1.5,3.5,0.429,0,0,NA,1.5,3.5,0.429,0.429,1,1.5,0.691,1.4,1.9,3.3,0.3,0.1,0.3,0.7,1.9,4.1
1997-98,23,GSW,NBA,C,57,1,10.8,1.5,3.6,0.42,0,0.1,0,1.5,3.5,0.428,0.42,1,1.4,0.688,1.1,2.4,3.4,0.2,0.1,0.3,0.6,1.6,4
1998-99,24,UTA,NBA,C,42,2,11,1.3,3,0.452,0,0,NA,1.3,3,0.452,0.452,0.7,1.2,0.6,0.7,1.7,2.4,0.1,0.1,0.3,0.6,1.4,3.4
1999-00,25,CHH,NBA,C,41,2,9.7,1.2,3,0.418,0,0,NA,1.2,3,0.418,0.418,0.8,1.3,0.604,0.9,1.8,2.7,0.1,0.2,0.2,0.7,1.1,3.3
2000-01,26,MIA,NBA,C,10,0,7.7,1,3.5,0.286,0,0,NA,1,3.5,0.286,0.286,0.8,0.8,1,0.7,1.1,1.8,0.1,0.3,0.2,0.3,1,2.8
Career,NA,,NBA,,225,23,11.1,1.4,3.3,0.422,0,0,0,1.4,3.3,0.424,0.422,0.9,1.3,0.668,1.1,1.9,3,0.2,0.2,0.3,0.6,1.6,3.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,GSW,NBA,,132,19,11.8,1.5,3.6,0.425,0,0,0,1.5,3.5,0.428,0.425,1,1.4,0.689,1.3,2.1,3.4,0.3,0.1,0.3,0.7,1.8,4
1 season,NA,UTA,NBA,,42,2,11,1.3,3,0.452,0,0,NA,1.3,3,0.452,0.452,0.7,1.2,0.6,0.7,1.7,2.4,0.1,0.1,0.3,0.6,1.4,3.4
1 season,NA,CHH,NBA,,41,2,9.7,1.2,3,0.418,0,0,NA,1.2,3,0.418,0.418,0.8,1.3,0.604,0.9,1.8,2.7,0.1,0.2,0.2,0.7,1.1,3.3
1 season,NA,MIA,NBA,,10,0,7.7,1,3.5,0.286,0,0,NA,1,3.5,0.286,0.286,0.8,0.8,1,0.7,1.1,1.8,0.1,0.3,0.2,0.3,1,2.8
