Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,23,UTA,NBA,PG,32,0,217,6.3,13.6,0.463,1.2,4.3,0.269,5.1,9.3,0.554,3.8,7.6,0.5,1,3.8,4.8,6.5,2,0,2.3,2.8,17.6
2010-11,24,TOT,NBA,PG,24,0,301,5,12.6,0.4,1.1,4.5,0.237,3.9,8,0.493,2.2,4.3,0.5,1.6,3,4.5,5,1.9,0.1,3.2,3,13.3
2010-11,24,MIN,NBA,PG,8,0,65,3.9,12.2,0.318,1.1,3.3,0.333,2.8,8.9,0.313,2.8,5.5,0.5,0.6,2.8,3.3,3.3,1.7,0,3.3,2.2,11.6
2010-11,24,TOR,NBA,PG,6,0,90,6,14,0.429,1.2,6,0.2,4.8,8,0.6,0.8,2.4,0.333,0.8,2.4,3.2,4.4,1.6,0.4,3.2,4,14
2010-11,24,NJN,NBA,PG,10,0,146,4.9,11.8,0.417,1,4.2,0.235,3.9,7.6,0.516,2.7,4.9,0.55,2.5,3.5,5.9,6.2,2.2,0,3.2,2.7,13.6
2011-12,25,NJN,NBA,SG,57,12,793,4.6,12.3,0.376,1.3,3.7,0.341,3.4,8.6,0.392,2.7,4.4,0.615,1.2,3.7,4.9,5.7,2.5,0.1,2.4,2.6,13.2
Career,NA,,NBA,,113,12,1311,5,12.6,0.397,1.2,4,0.301,3.8,8.6,0.442,2.7,4.9,0.562,1.3,3.5,4.8,5.7,2.3,0.1,2.6,2.7,13.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NJN,NBA,,67,12,939,4.7,12.2,0.382,1.2,3.8,0.323,3.5,8.4,0.409,2.7,4.4,0.603,1.4,3.6,5.1,5.8,2.5,0.1,2.5,2.6,13.3
1 season,NA,UTA,NBA,,32,0,217,6.3,13.6,0.463,1.2,4.3,0.269,5.1,9.3,0.554,3.8,7.6,0.5,1,3.8,4.8,6.5,2,0,2.3,2.8,17.6
1 season,NA,MIN,NBA,,8,0,65,3.9,12.2,0.318,1.1,3.3,0.333,2.8,8.9,0.313,2.8,5.5,0.5,0.6,2.8,3.3,3.3,1.7,0,3.3,2.2,11.6
1 season,NA,TOR,NBA,,6,0,90,6,14,0.429,1.2,6,0.2,4.8,8,0.6,0.8,2.4,0.333,0.8,2.4,3.2,4.4,1.6,0.4,3.2,4,14
