Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,21,KEN,ABA,SG,2,NA,31,3,14,0.214,0,2,0,3,12,0.25,0.214,0,0,NA,NA,NA,4,8,NA,NA,1,2,6
1972-73,22,KEN,ABA,PG,12,NA,291,23,58,0.397,0,2,0,23,56,0.411,0.397,20,23,0.87,8,22,30,40,NA,NA,15,41,66
1973-74,23,NYA,ABA,PG,14,NA,367,48,110,0.436,1,1,1,47,109,0.431,0.441,19,20,0.95,10,48,58,57,19,18,24,34,116
1974-75,24,NYA,ABA,PG,3,NA,73,9,19,0.474,2,4,0.5,7,15,0.467,0.526,3,6,0.5,1,4,5,7,7,6,1,7,23
1975-76,25,SAA,ABA,SG,7,NA,286,45,98,0.459,0,2,0,45,96,0.469,0.459,13,17,0.765,9,31,40,50,24,10,23,16,103
1976-77,26,SAS,NBA,SG,2,NA,67,9,23,0.391,NA,NA,NA,9,23,0.391,0.391,4,7,0.571,5,5,10,10,4,2,NA,9,22
1977-78,27,SAS,NBA,SG,6,NA,201,25,56,0.446,NA,NA,NA,25,56,0.446,0.446,2,4,0.5,7,18,25,31,7,4,17,15,52
1978-79,28,SAS,NBA,SG,14,NA,302,38,87,0.437,NA,NA,NA,38,87,0.437,0.437,19,22,0.864,10,19,29,56,16,4,16,33,95
1979-80,29,SAS,NBA,PG,3,NA,69,8,20,0.4,1,4,0.25,7,16,0.438,0.425,4,7,0.571,1,5,6,16,5,0,3,6,21
1980-81,30,POR,NBA,PG,3,NA,51,4,16,0.25,0,0,NA,4,16,0.25,0.25,0,0,NA,2,3,5,9,5,0,2,2,8
Career,NA,,TOT,,66,NA,1738,212,501,0.423,4,15,0.267,208,486,0.428,0.427,84,106,0.792,53,155,212,284,87,44,102,165,512
,NA,,ABA,,38,NA,1048,128,299,0.428,3,11,0.273,125,288,0.434,0.433,55,66,0.833,28,105,137,162,50,34,64,100,314
,NA,,NBA,,28,NA,690,84,202,0.416,1,4,0.25,83,198,0.419,0.418,29,40,0.725,25,50,75,122,37,10,38,65,198
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,"SAA,SAS",ABA,,32,NA,925,125,284,0.44,1,6,0.167,124,278,0.446,0.442,42,57,0.737,32,78,110,163,56,20,59,79,293
2 seasons,NA,NYA,ABA,,17,NA,440,57,129,0.442,3,5,0.6,54,124,0.435,0.453,22,26,0.846,11,52,63,64,26,24,25,41,139
2 seasons,NA,KEN,ABA,,14,NA,322,26,72,0.361,0,4,0,26,68,0.382,0.361,20,23,0.87,8,22,34,48,NA,NA,16,43,72
1 season,NA,POR,NBA,,3,NA,51,4,16,0.25,0,0,NA,4,16,0.25,0.25,0,0,NA,2,3,5,9,5,0,2,2,8
