Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,24,MEM,NBA,C,82,75,2521,350,661,0.53,0,1,0,350,660,0.53,0.53,275,375,0.733,201,404,605,143,63,90,164,265,975
2009-10,25,MEM,NBA,C,69,69,2469,378,651,0.581,0,1,0,378,650,0.582,0.581,252,376,0.67,208,432,640,165,69,109,135,254,1008
2010-11,26,MEM,NBA,C,81,81,2586,364,691,0.527,3,7,0.429,361,684,0.528,0.529,220,294,0.748,154,415,569,200,74,136,146,265,951
2011-12,27,MEM,NBA,C,65,65,2370,357,740,0.482,1,12,0.083,356,728,0.489,0.483,237,317,0.748,120,459,579,204,62,121,121,201,952
2012-13,28,MEM,NBA,C,80,80,2796,429,869,0.494,1,14,0.071,428,855,0.501,0.494,268,316,0.848,184,438,622,318,80,139,157,255,1127
2013-14,29,MEM,NBA,C,59,59,1970,336,711,0.473,2,11,0.182,334,700,0.477,0.474,185,241,0.768,84,340,424,215,59,76,111,150,859
2014-15,30,MEM,NBA,C,81,81,2687,530,1072,0.494,3,17,0.176,527,1055,0.5,0.496,350,440,0.795,115,515,630,307,70,131,176,208,1413
2015-16,31,MEM,NBA,C,52,52,1791,328,707,0.464,2,3,0.667,326,704,0.463,0.465,203,245,0.829,58,304,362,196,50,70,118,141,861
2016-17,32,MEM,NBA,C,74,74,2531,532,1160,0.459,104,268,0.388,428,892,0.48,0.503,278,332,0.837,60,404,464,338,67,99,166,171,1446
2017-18,33,MEM,NBA,C,73,73,2408,434,1033,0.42,109,320,0.341,325,713,0.456,0.473,281,337,0.834,78,514,592,305,54,101,194,185,1258
2018-19,34,TOT,NBA,C,79,72,2436,390,870,0.448,99,273,0.363,291,597,0.487,0.505,192,253,0.759,80,547,627,349,84,86,155,217,1071
2018-19,34,MEM,NBA,C,53,53,1788,303,683,0.444,76,221,0.344,227,462,0.491,0.499,152,201,0.756,56,399,455,248,60,63,119,147,834
2018-19,34,TOR,NBA,C,26,19,648,87,187,0.465,23,52,0.442,64,135,0.474,0.527,40,52,0.769,24,148,172,101,24,23,36,70,237
2019-20,35,TOR,NBA,C,36,35,990,99,236,0.419,51,127,0.402,48,109,0.44,0.528,26,36,0.722,29,199,228,124,28,33,43,101,275
Career,NA,,NBA,,831,816,27555,4527,9401,0.482,375,1054,0.356,4152,8347,0.497,0.501,2767,3562,0.777,1371,4971,6342,2864,760,1191,1686,2413,12196
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11 seasons,NA,MEM,NBA,,769,762,25917,4341,8978,0.484,301,875,0.344,4040,8103,0.499,0.5,2701,3474,0.777,1318,4624,5942,2639,708,1135,1607,2242,11684
2 seasons,NA,TOR,NBA,,62,54,1638,186,423,0.44,74,179,0.413,112,244,0.459,0.527,66,88,0.75,53,347,400,225,52,56,79,171,512
