,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1971-72,23,HOU,NBA,,7,,8,11,,,,,,,,22
1972-73,24,TOT,NBA,,7,,4,5,,,,,,,,14
1972-73,24,HOU,NBA,,0,,0,0,,,0,1,,,,0
1972-73,24,KCO,NBA,,7,,4,5,,,,,,,,14
1973-74,25,SEA,NBA,,12,,10,12,,,,,,,,30
1974-75,26,WSB,NBA,,5,,5,6,,,,,,,,13
1975-76,27,BUF,NBA,,8,,10,10,,,,,,,,19
Career,,,,,12,,10,12,,,,,,,,30
1 Season,,BUF,NBA,,8,,10,10,,,,,,,,19
1 Season,,SEA,NBA,,12,,10,12,,,,,,,,30
1 Season,,KCO,NBA,,7,,4,5,,,,,,,,14
2 Seasons,,HOU,NBA,,7,,8,11,,,,,,,,22
1 Season,,WSB,NBA,,5,,5,6,,,,,,,,13
