,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2002-03,25,SAS,NBA,SG,24,660,,99%,2%,,,+15.9,+22.9,21,8,24,4,23,0,160,2,12
2003-04,26,SAS,NBA,SG,10,280,1%,80%,19%,,,+11.0,+18.3,13,5,10,2,11,0,69,2,7
2004-05,27,SAS,NBA,SG,23,772,,70%,30%,,,+10.3,+19.9,45,14,27,4,61,0,226,12,19
2005-06,28,SAS,NBA,SG,13,426,,71%,29%,,,+10.5,+24.9,17,11,16,2,30,20,89,7,5
2006-07,29,SAS,NBA,SG,20,602,,81%,19%,,,+6.0,+5.0,25,11,30,3,31,8,166,4,13
2007-08,30,SAS,NBA,SG,17,559,15%,85%,,,,+1.0,+5.2,27,10,15,6,27,5,152,12,11
2009-10,32,SAS,NBA,SG,10,352,,62%,38%,,,-3.8,+2.0,19,4,12,5,15,4,129,4,10
2010-11,33,SAS,NBA,SG,5,174,,52%,48%,,,+4.5,+20.3,10,5,5,2,12,1,45,3,1
2011-12,34,SAS,NBA,SG,14,390,2%,92%,6%,,,+3.0,-10.3,25,10,13,7,18,5,131,5,13
2012-13,35,SAS,NBA,SG,21,560,3%,68%,29%,,,+7.7,+0.7,36,12,18,5,25,3,248,4,8
2013-14,36,SAS,NBA,SG,23,586,4%,94%,3%,,,+15.7,+12.1,29,15,19,4,30,11,217,3,8
2014-15,37,SAS,NBA,SG,7,131,,73%,27%,,,-4.1,-8.0,9,4,3,1,7,5,79,2,4
2015-16,38,SAS,NBA,SG,10,192,4%,96%,,,,+15.9,+10.0,0,7,12,0,4,3,59,0,1
2016-17,39,SAS,NBA,SG,16,284,,58%,41%,1%,,+0.7,0.0,9,3,11,0,14,2,91,5,4
2017-18,40,SAS,NBA,SG,5,107,2%,64%,33%,,,-2.3,+12.8,4,1,7,1,4,1,38,0,2
Career,,,NBA,,218,6075,2%,79%,19%,,,+7.7,+10.2,289,120,222,46,312,68,1899,65,118
