Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Dion Glover,,2.6,1.1,0.9,0.8,0.3,0.2
Si Green,83.6,2.6,1.6,1,0.8,0.4,NA
Wayne Ellington,82.1,3.2,1.2,0.8,0.7,0.4,0.3
Glenn Robinson,81.8,2.5,0.8,0.7,0.6,0.1,NA
Mike Davis,79.1,2.2,1.2,0.9,0.6,NA,NA
Bo Lamar,78.7,2.5,1.5,1,0.5,NA,NA
Ben McLemore,78.1,2.5,0.8,0.5,0.4,0.3,0.2
A.J. Price,77.8,2.2,1.2,0.7,0.3,0.3,0
Robert Smith,76.8,2.9,1.4,0.8,0.6,0,0
Elston Turner,76.2,2.3,1.4,1.3,1.2,0.3,0.1
Sasha Pavlović,75.7,3.1,1.7,0.9,0.8,0.5,0.2
