,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1999-00,21,ATL,NBA,26:41,7,13,1,4,6,11,7,9,2,3,5,5,2,2,4,3,18,17.2
2000-01,22,ATL,NBA,40:50,10,20,1,5,9,18,7,7,4,6,9,5,4,1,4,6,28,21.8
2001-02,23,ATL,NBA,44:09,10,20,4,5,9,17,6,7,3,10,11,7,4,2,6,6,25,24.8
2002-03,24,ATL,NBA,52:09,12,23,3,6,12,19,8,8,4,10,11,8,5,3,5,5,28,25.9
2003-04,25,TOT,NBA,41:45,8,21,4,6,6,16,7,8,3,7,9,6,4,2,5,5,23,18.1
2003-04,25,ATL,NBA,41:45,8,21,4,6,6,16,7,8,3,7,9,6,3,2,5,5,23,18.1
2003-04,25,TOR,NBA,36:16,5,16,1,3,4,13,2,4,2,7,9,4,4,1,5,5,13,7.2
2004-05,26,SAS,NBA,14:35,2,8,1,5,2,3,5,6,1,3,4,2,2,1,1,3,10,6.7
Career,,,,52:09,12,23,4,6,12,19,8,9,4,10,11,8,5,3,6,6,28,25.9
5 Seasons,,ATL,NBA,52:09,12,23,4,6,12,19,8,9,4,10,11,8,5,3,6,6,28,25.9
1 Season,,TOR,NBA,36:16,5,16,1,3,4,13,2,4,2,7,9,4,4,1,5,5,13,7.2
1 Season,,SAS,NBA,14:35,2,8,1,5,2,3,5,6,1,3,4,2,2,1,1,3,10,6.7
