Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981-82,22,NJN,NBA,C,1,NA,10,2,3,0.667,0,0,NA,2,3,0.667,0.667,1,2,0.5,0,2,2,0,0,0,0,2,5
1982-83,23,NJN,NBA,C,2,NA,14.5,3,4.5,0.667,0,0,NA,3,4.5,0.667,0.667,1.5,2,0.75,2,2.5,4.5,0.5,0,2,0.5,1,7.5
1983-84,24,NJN,NBA,C,11,NA,20.3,2.6,4.5,0.58,0,0,NA,2.6,4.5,0.58,0.58,3.3,4.7,0.692,2,3,5,0.5,0.6,1.4,0.8,1.5,8.5
1984-85,25,NJN,NBA,C,3,0,27,6,11,0.545,0,0,NA,6,11,0.545,0.545,2,2,1,1.3,5,6.3,1.3,1,1.7,3.3,1.7,14
1985-86,26,NJN,NBA,C,3,3,36.3,5.3,14.3,0.372,0,0,NA,5.3,14.3,0.372,0.372,8.7,9,0.963,3.7,6.3,10,1.7,1.3,0.7,3,3.7,19.3
1988-89,29,PHI,NBA,C,3,3,39.3,6.3,16,0.396,0,0,NA,6.3,16,0.396,0.396,3.7,5.3,0.688,2,5.7,7.7,0.7,0,2.7,0.7,2.7,16.3
1989-90,30,PHI,NBA,C,10,10,34.2,5.7,11.7,0.487,0,0.5,0,5.7,11.2,0.509,0.487,1.4,1.5,0.933,0.8,4.6,5.4,1.1,0.8,2.3,1.7,2.7,12.8
1992-93,33,CHH,NBA,C,2,0,2.5,0.5,1,0.5,0,0,NA,0.5,1,0.5,0.5,0,0,NA,0,0.5,0.5,0,0,0,0,0,1
Career,NA,,NBA,,35,16,26.2,4.2,8.7,0.485,0,0.1,0,4.2,8.6,0.493,0.485,2.8,3.5,0.795,1.6,3.9,5.5,0.8,0.6,1.6,1.4,2.1,11.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,NJN,NBA,,20,3,22.6,3.6,6.9,0.514,0,0,NA,3.6,6.9,0.514,0.514,3.6,4.6,0.791,2.1,3.7,5.8,0.8,0.7,1.3,1.5,1.9,10.7
2 seasons,NA,PHI,NBA,,13,13,35.4,5.8,12.7,0.461,0,0.4,0,5.8,12.3,0.475,0.461,1.9,2.4,0.806,1.1,4.8,5.9,1,0.6,2.4,1.5,2.7,13.6
1 season,NA,CHH,NBA,,2,0,2.5,0.5,1,0.5,0,0,NA,0.5,1,0.5,0.5,0,0,NA,0,0.5,0.5,0,0,0,0,0,1
