,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2008-09,20,LAC,NBA,SG,78,2677,.456,14.5,.626,.332,.059,.050,.185,.374,.496,.589,.340,.267,.443,.389,.525,.037,30,.893,.136,.522,4,0
2009-10,21,LAC,NBA,SG,62,2229,.449,14.3,.591,.353,.069,.032,.136,.409,.503,.596,.444,.200,.364,.371,.528,.031,21,.899,.097,.419,2,0
2010-11,22,LAC,NBA,SG,56,2112,.450,13.4,.693,.278,.199,.054,.162,.307,.488,.663,.365,.412,.364,.364,.455,.040,35,.858,.072,.381,2,0
2011-12,23,NOH,NBA,PG,9,310,.450,12.9,.714,.307,.186,.064,.157,.286,.530,.698,.385,.444,.409,.250,.321,.029,4,.400,.025,1.000,0,0
2012-13,24,NOH,NBA,SG,42,1264,.402,13.6,.704,.281,.195,.051,.176,.296,.436,.543,.395,.300,.350,.324,.330,.012,6,.786,.150,.308,2,0
2013-14,25,NOP,NBA,SG,64,2057,.436,13.3,.684,.308,.154,.058,.163,.316,.456,.583,.286,.362,.414,.391,.373,.006,5,.871,.143,.270,2,0
2014-15,26,NOP,NBA,SG,61,2018,.411,16.2,.546,.199,.150,.063,.133,.454,.380,.464,.317,.273,.380,.448,.361,.000,0,.943,.156,.429,2,0
2015-16,27,NOP,NBA,SG,45,1481,.418,16.3,.467,.225,.096,.033,.116,.533,.457,.524,.358,.500,.391,.384,.441,.022,10,.850,.153,.289,0,0
2016-17,28,HOU,NBA,SG,75,2323,.406,18.7,.349,.194,.094,.015,.044,.651,.468,.574,.365,.200,.333,.372,.446,.007,6,.841,.130,.372,2,0
2017-18,29,HOU,NBA,SG,69,2154,.428,17.7,.373,.234,.089,.027,.022,.627,.544,.661,.384,.269,.333,.359,.386,.012,11,.849,.122,.459,5,1
2018-19,30,HOU,NBA,SG,68,2158,.409,18.3,.360,.198,.134,.018,.010,.640,.497,.634,.317,.412,.333,.360,.435,.007,7,.875,.112,.373,0,0
2019-20,31,HOU,NBA,SG,34,972,.370,19.0,.342,.201,.110,.021,.011,.658,.467,.557,.375,.333,.000,.319,.543,.011,5,.793,.083,.208,2,0
Career,,,NBA,,663,21755,.425,15.9,.523,.257,.122,.038,.105,.477,.475,.594,.353,.324,.384,.370,.436,.018,140,.861,.121,.383,23,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,HOU,NBA,,246,7607,.408,18.3,.358,.208,.106,.020,.024,.642,.499,.616,.354,.299,.313,.358,.434,.009,29,.847,.116,.382,9,1
5 seasons,,"NOH,NOP",NBA,,221,7130,.420,14.6,.612,.259,.152,.053,.149,.388,.439,.548,.338,.345,.386,.390,.367,.010,25,.867,.146,.335,6,0
3 seasons,,LAC,NBA,,196,7018,.452,14.0,.640,.319,.112,.046,.162,.360,.495,.614,.375,.314,.395,.375,.499,.036,86,.885,.103,.459,8,0
