Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,19,CHS,BAA,,45,,,1.2,3.5,.344,0.4,1.1,.347,,0.4,1.9,2.8
1949-50,20,CHS,NBA,,57,,,1.3,4.3,.304,0.9,1.6,.596,,0.6,1.7,3.6
1950-51,21,Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL)
1951-52,22,INO,NBA,C,66,,37.0,4.8,12.5,.387,4.0,6.0,.667,9.9,2.0,3.8,13.7
1952-53,23,INO,NBA,C,69,,40.1,3.9,11.6,.340,5.1,7.4,.682,10.0,2.3,4.4,13.0
1953-54,24,PHW,NBA,PF,71,,38.9,5.0,14.1,.354,3.3,4.9,.674,9.4,2.3,3.1,13.3
1954-55,25,PHW,NBA,PF,70,,35.9,5.3,15.7,.340,3.0,4.3,.686,9.1,2.6,3.7,13.6
1955-56,26,PHW,NBA,PF,72,,33.0,5.5,14.9,.369,3.3,4.7,.706,8.9,2.6,3.8,14.4
1956-57,27,PHW,NBA,PF,72,,34.7,5.4,15.5,.349,3.5,4.5,.783,8.5,1.9,3.4,14.3
1957-58,28,PHW,NBA,PF,72,,28.8,4.7,14.1,.335,3.2,4.2,.749,7.9,1.7,3.5,12.6
1958-59,29,PHW,NBA,PF,72,,34.5,5.5,15.5,.353,3.8,5.0,.750,10.4,2.1,3.5,14.7
1959-60,30,PHW,NBA,PF,73,,17.4,3.0,8.0,.372,1.8,2.4,.753,4.9,1.5,2.0,7.7
1960-61,31,PHW,NBA,PF,68,,14.9,2.5,7.5,.333,1.9,2.7,.694,3.9,1.1,2.2,6.8
1961-62,32,TOT,NBA,PF,38,,12.3,2.0,5.8,.348,1.0,1.7,.600,4.1,0.7,1.6,5.1
1961-62,32,STL,NBA,,3,,,,,,,,,,,,
1961-62,32,CHP,NBA,PF,12,,,,,,,,,,,,
1961-62,32,SYR,NBA,PF,23,,14.0,2.1,5.8,.361,1.0,1.7,.579,4.6,0.9,2.0,5.1
Career,NA,,TOT,,845,,30.5,4.1,11.6,.352,2.9,4.1,.700,8.1,1.8,3.1,11.0
,NA,,NBA,,800,,30.5,4.2,12.0,.352,3.0,4.2,.705,8.1,1.9,3.1,11.4
,NA,,BAA,,45,,,1.2,3.5,.344,0.4,1.1,.347,,0.4,1.9,2.8
,NA,,,,,,,,,,,,,,,,
8 seasons,NA,PHW,NBA,,570,,29.8,4.6,13.2,.351,3.0,4.1,.724,7.9,2.0,3.1,12.2
2 seasons,NA,INO,NBA,,135,,38.6,4.4,12.0,.364,4.5,6.7,.675,9.9,2.1,4.1,13.3
2 seasons,NA,CHS,BAA,,102,,,1.3,4.0,.319,0.7,1.4,.507,,0.5,1.8,3.2
1 season,NA,SYR,NBA,,23,,14.0,2.1,5.8,.361,1.0,1.7,.579,4.6,0.9,2.0,5.1
1 season,NA,CHP,NBA,,12,,,,,,,,,,,,
1 season,NA,STL,NBA,,3,,,,,,,,,,,,
