Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,23,CHO,NBA,SG,27,1,189,3.6,7.6,0.475,1.7,2.9,0.6,1.9,4.8,0.4,1.9,2.9,0.667,1,3.2,4.2,1.1,1.1,0.2,0.6,3.4,10.9
2017-18,24,CHO,NBA,SG,63,2,1050,3.3,7.6,0.434,1.4,3.3,0.412,1.9,4.3,0.452,1.4,2,0.695,1.4,2.7,4.1,2,1.1,0.1,0.9,3.7,9.4
2018-19,25,BRK,NBA,SG,35,21,715,3.2,9.6,0.335,1.9,6.4,0.297,1.3,3.2,0.413,0.9,1.1,0.818,1.2,4.2,5.4,1.7,0.7,0.4,0.9,3.4,9.3
2019-20,26,TOT,NBA,SG,55,20,929,3.4,9.4,0.36,1.3,4.7,0.275,2.1,4.7,0.443,1.4,2.2,0.643,2,3.8,5.8,1.7,0.9,0.2,1.1,4,9.4
2019-20,26,MIN,NBA,SG,33,20,663,3.4,9.5,0.354,1.1,4.5,0.241,2.3,5,0.457,1.5,2,0.73,1.6,3.9,5.4,1.6,0.9,0.1,1,3.6,9.3
2019-20,26,ATL,NBA,SG,22,0,266,3.4,9.1,0.373,1.8,5,0.351,1.6,4.1,0.4,1.2,2.6,0.474,3,3.8,6.8,2,0.9,0.5,1.4,4.9,9.7
Career,NA,,NBA,,180,44,2883,3.3,8.7,0.383,1.5,4.5,0.333,1.8,4.2,0.437,1.3,1.9,0.691,1.5,3.5,5,1.8,0.9,0.2,0.9,3.7,9.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,CHO,NBA,,90,3,1239,3.3,7.6,0.441,1.4,3.3,0.438,1.9,4.3,0.443,1.5,2.2,0.689,1.4,2.8,4.2,1.9,1.1,0.1,0.9,3.7,9.6
1 season,NA,BRK,NBA,,35,21,715,3.2,9.6,0.335,1.9,6.4,0.297,1.3,3.2,0.413,0.9,1.1,0.818,1.2,4.2,5.4,1.7,0.7,0.4,0.9,3.4,9.3
1 season,NA,MIN,NBA,,33,20,663,3.4,9.5,0.354,1.1,4.5,0.241,2.3,5,0.457,1.5,2,0.73,1.6,3.9,5.4,1.6,0.9,0.1,1,3.6,9.3
1 season,NA,ATL,NBA,,22,0,266,3.4,9.1,0.373,1.8,5,0.351,1.6,4.1,0.4,1.2,2.6,0.474,3,3.8,6.8,2,0.9,0.5,1.4,4.9,9.7
