Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jeff Grayer,,1.9,1.8,1.5,1.5,1.5,0.4,0.3,0.2,-0.1
Pete Chilcutt,78.1,2.1,2,1.5,1.4,1.1,1,0.7,0.6,0.3
Scott Hastings,76.6,2.1,1.5,1.3,1,0.8,0.5,0.4,0.3,0.1
Wesley Johnson,76.2,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0,0
Tony Massenburg,74.8,2.8,2.2,1.8,1.7,1.3,0.7,0.4,0.2,-0.1
Marc Iavaroni,74.5,1.7,1.5,1.4,1.1,1,0.7,0.6,NA,NA
Shelden Williams,74.5,2.2,2.1,2,1.9,1.2,0.5,NA,NA,NA
Michael Ruffin,74.4,1.9,1.7,1.2,1,0.6,0.2,0.1,0,0
Larry Staverman,74.1,1.6,1.6,1.4,1.2,1.1,NA,NA,NA,NA
Brian Scalabrine,73.3,1.7,1.4,1.1,1,0.9,0.6,0.3,0.2,-0.1
Quincy Acy,72.8,2.5,1.7,1.5,1.1,1,0.9,-0.1,NA,NA
