Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985-86,22,LAL,NBA,PF,9,0,106,3.1,5.8,0.529,0,0,NA,3.1,5.8,0.529,1.4,3.1,0.444,1,4.4,5.4,0,0.3,1,1.4,4.4,7.5
1986-87,23,LAL,NBA,PF,18,18,505,5.1,9.3,0.546,0,0,NA,5.1,9.3,0.546,4.6,6.2,0.747,3.8,6.3,10.1,0.8,0.6,0.6,1.2,3.4,14.8
1987-88,24,LAL,NBA,PF,24,18,726,4.6,8.4,0.544,0,0,NA,4.6,8.4,0.544,2.7,3.6,0.753,2.8,5.9,8.7,1,0.5,0.6,1.3,3,11.9
1988-89,25,LAL,NBA,PF,15,15,502,3.4,8.2,0.412,0,0.2,0,3.4,8,0.423,4.2,5.5,0.763,2.7,7.1,9.8,1.3,1.1,0.4,1.6,2.7,10.9
1989-90,26,LAL,NBA,PF,9,9,252,5.9,11.3,0.519,0,0,NA,5.9,11.3,0.519,3.4,4.6,0.75,4.9,6.7,11.6,1.3,0.7,0.6,2,3.1,15.1
1990-91,27,LAL,NBA,PF,19,1,400,3.7,8.7,0.423,0.4,0.7,0.5,3.3,8,0.416,3.4,4.9,0.704,4.1,5,9.2,0.8,1.1,0.3,1.7,3.3,11.2
1991-92,28,LAL,NBA,PF,4,4,153,3.8,9.2,0.41,0,0,NA,3.8,9.2,0.41,4.5,5.4,0.826,3.5,4.9,8.5,1.6,1.6,0,1.2,2.4,12
1992-93,29,LAL,NBA,PF,5,5,220,2.9,6.9,0.429,0,0.8,0,2.9,6.1,0.486,2.1,3.4,0.619,4.3,7.7,11.9,2.1,1.1,0.5,1.5,2.3,8
1993-94,30,PHO,NBA,PF,10,2,350,4.1,8.5,0.482,0.7,1.7,0.412,3.4,6.8,0.5,3.9,6.4,0.613,3,5.7,8.6,1.3,1,0.2,0.7,2.3,12.9
1994-95,31,PHO,NBA,SF,10,10,368,3.5,7.6,0.462,0.1,1.2,0.083,3.4,6.5,0.53,5.4,6.2,0.873,3.7,8,11.7,1.3,0.6,0.2,1,2.2,12.5
1995-96,32,PHO,NBA,SF,4,4,87,2.5,7,0.353,0,1.2,0,2.5,5.8,0.429,2.9,3.3,0.875,2.5,5,7.4,0.8,0.4,0,0.8,2.9,7.9
1999-00,36,LAL,NBA,PF,23,23,429,3.1,7.6,0.411,0,0,NA,3.1,7.6,0.411,1.3,1.9,0.696,3.6,4.4,8.1,1.1,1.2,0.3,0.8,3.7,7.6
2000-01,37,MIA,NBA,PF,3,0,21,1.7,5.1,0.333,0,0,NA,1.7,5.1,0.333,1.7,1.7,1,1.7,5.1,6.9,3.4,1.7,0,1.7,6.9,5.1
Career,NA,,NBA,,153,109,4119,4,8.4,0.475,0.1,0.4,0.25,3.9,8,0.487,3.4,4.6,0.739,3.4,6.1,9.5,1.1,0.9,0.4,1.3,3,11.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,LAL,NBA,,126,93,3293,4.1,8.5,0.479,0,0.2,0.25,4,8.3,0.484,3.2,4.4,0.734,3.5,5.9,9.4,1.1,0.9,0.5,1.4,3.1,11.4
3 seasons,NA,PHO,NBA,,24,16,805,3.7,8,0.461,0.4,1.4,0.25,3.3,6.5,0.507,4.5,5.9,0.752,3.3,6.7,9.9,1.3,0.8,0.2,0.8,2.3,12.2
1 season,NA,MIA,NBA,,3,0,21,1.7,5.1,0.333,0,0,NA,1.7,5.1,0.333,1.7,1.7,1,1.7,5.1,6.9,3.4,1.7,0,1.7,6.9,5.1
