Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2009-10,23,OKC,NBA,PF,6,6,224,5.4,16.6,0.329,1.9,6.4,0.296,3.5,10.2,0.349,4,4.7,0.85,1.4,5.2,6.6,2.4,0.9,0.7,1.4,3.8,16.8,NA,98,109
2010-11,24,BOS,NBA,SF,9,0,173,7.2,16.5,0.434,2.2,5,0.438,5,11.5,0.432,4,5.6,0.722,1.9,5.6,7.5,0.6,1.6,1.2,3.7,6.2,20.6,NA,95,104
2012-13,26,BOS,NBA,PF,6,6,258,7.9,18.2,0.435,2.1,4.7,0.455,5.8,13.5,0.429,8.1,9.6,0.844,1.3,5.6,6.8,3,0.4,0.9,4.1,4.7,26.1,NA,103,102
2014-15,28,MEM,NBA,SF,11,2,298,6.3,18.9,0.333,0.7,3.2,0.222,5.6,15.8,0.356,3.9,4.6,0.846,1.6,7.5,9.1,3.3,0.9,0.9,2.8,3.2,17.2,NA,84,107
2015-16,29,LAC,NBA,SF,6,1,159,6.8,14.8,0.457,1.3,3.2,0.4,5.5,11.6,0.472,4.8,8.1,0.6,1,5.2,6.1,1.3,1.9,0.6,1,3.9,19.7,NA,110,106
2017-18,31,CLE,NBA,PF,22,2,523,5.8,14.2,0.408,2.1,7,0.3,3.7,7.2,0.514,3.3,4.6,0.717,0.7,4.6,5.3,3.2,0.7,1.5,1.7,3.6,17,NA,107,113
Career,NA,,NBA,,60,17,1635,6.4,16.3,0.393,1.7,5.3,0.331,4.7,11,0.422,4.5,5.8,0.767,1.2,5.5,6.7,2.6,0.9,1.1,2.4,4,19,NA,99,108
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CLE,NBA,,22,2,523,5.8,14.2,0.408,2.1,7,0.3,3.7,7.2,0.514,3.3,4.6,0.717,0.7,4.6,5.3,3.2,0.7,1.5,1.7,3.6,17,NA,107,113
2 seasons,NA,BOS,NBA,,15,6,431,7.6,17.5,0.435,2.2,4.8,0.447,5.4,12.7,0.43,6.5,8,0.81,1.5,5.6,7.1,2,0.9,1,3.9,5.3,23.8,NA,100,103
1 season,NA,MEM,NBA,,11,2,298,6.3,18.9,0.333,0.7,3.2,0.222,5.6,15.8,0.356,3.9,4.6,0.846,1.6,7.5,9.1,3.3,0.9,0.9,2.8,3.2,17.2,NA,84,107
1 season,NA,LAC,NBA,,6,1,159,6.8,14.8,0.457,1.3,3.2,0.4,5.5,11.6,0.472,4.8,8.1,0.6,1,5.2,6.1,1.3,1.9,0.6,1,3.9,19.7,NA,110,106
1 season,NA,OKC,NBA,,6,6,224,5.4,16.6,0.329,1.9,6.4,0.296,3.5,10.2,0.349,4,4.7,0.85,1.4,5.2,6.6,2.4,0.9,0.7,1.4,3.8,16.8,NA,98,109
