Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991-92,21,IND,NBA,SG,35,0,256,8.7,22.2,0.392,0.3,1.4,0.2,8.4,20.8,0.405,2.1,3.9,0.536,3.1,2.8,5.9,3.1,1.8,0.8,3.8,4.4,19.8
1992-93,22,IND,NBA,SG,13,0,81,12.4,24.4,0.509,1.3,4.4,0.3,11.1,20,0.556,1.3,1.8,0.75,1.8,2.2,4,3.1,0.9,0.4,4,4.9,27.6
1993-94,23,TOT,NBA,SG,36,0,334,6.8,19.7,0.344,1.1,4.4,0.244,5.7,15.3,0.373,1.4,1.9,0.722,1.1,2.6,3.7,1.7,1.9,0.6,2.9,2.3,16.1
1993-94,23,PHI,NBA,SG,35,0,332,6.8,19.7,0.346,1.1,4.4,0.244,5.7,15.3,0.376,1.4,2,0.722,1.1,2.6,3.7,1.7,2,0.7,2.9,2.3,16.2
1993-94,23,UTA,NBA,SG,1,0,2,0,18,0,0,0,NA,0,18,0,0,0,NA,0,0,0,0,0,0,0,0,0
Career,NA,,NBA,,84,0,671,8.2,21.2,0.386,0.8,3.3,0.246,7.4,18,0.412,1.7,2.7,0.62,1.9,2.6,4.6,2.4,1.8,0.7,3.4,3.4,18.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,IND,NBA,,48,0,337,9.6,22.8,0.423,0.5,2.1,0.25,9.1,20.6,0.44,1.9,3.4,0.563,2.8,2.7,5.4,3.1,1.6,0.7,3.8,4.5,21.7
1 season,NA,PHI,NBA,,35,0,332,6.8,19.7,0.346,1.1,4.4,0.244,5.7,15.3,0.376,1.4,2,0.722,1.1,2.6,3.7,1.7,2,0.7,2.9,2.3,16.2
1 season,NA,UTA,NBA,,1,0,2,0,18,0,0,0,NA,0,18,0,0,0,NA,0,0,0,0,0,0,0,0,0
