Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2010-11,21,LAC,NBA,PF,82,3112,21.9,0.549,0.017,0.505,10.2,26.9,18.6,18.7,1,1.1,11.7,27.3,NA,6.5,3.4,9.8,0.152,NA,3,-0.3,2.6,3.6
2011-12,22,LAC,NBA,PF,66,2392,23.4,0.557,0.016,0.458,10.7,25.1,17.8,16.6,1.2,1.7,10.9,26.6,NA,6.6,2.6,9.2,0.185,NA,3.9,-0.2,3.7,3.4
2012-13,23,LAC,NBA,PF,80,2598,22.4,0.572,0.026,0.397,8.7,21.5,15.2,19.9,2,1.6,12.8,25.4,NA,6.8,3.9,10.6,0.196,NA,3.2,0.8,4.1,4
2013-14,24,LAC,NBA,PF,80,2863,23.9,0.583,0.032,0.496,7.7,21.2,14.7,19.2,1.6,1.4,11.9,29,NA,8.1,4.1,12.2,0.205,NA,3.8,0.7,4.5,4.7
2014-15,25,LAC,NBA,PF,67,2356,22.8,0.551,0.022,0.373,6.1,17.9,12.1,26.2,1.4,1.2,10.2,28.4,NA,6.6,2.4,9,0.183,NA,3.8,0.2,4,3.6
2015-16,26,LAC,NBA,PF,35,1170,22.1,0.544,0.03,0.322,4.8,22.3,13.7,27.2,1.2,1.1,10.8,29.8,NA,2.2,1.6,3.8,0.156,NA,3.4,1.1,4.5,1.9
2016-17,27,LAC,NBA,PF,61,2076,22.6,0.569,0.116,0.434,6.2,20.2,13.4,24.5,1.4,0.9,10.9,28,NA,5.4,2.4,7.7,0.179,NA,4.2,0.5,4.7,3.5
2017-18,28,TOT,NBA,PF,58,1970,19.6,0.544,0.323,0.331,4.1,19.8,12,28.1,1,0.8,12.6,28.9,NA,3.2,1.8,4.9,0.12,NA,3.6,-0.2,3.4,2.7
2017-18,28,LAC,NBA,PF,33,1139,20.4,0.553,0.324,0.379,4.5,20.5,12.6,25.6,1.3,0.7,12.8,29.3,NA,2,1,3,0.126,NA,3.8,-0.4,3.4,1.6
2017-18,28,DET,NBA,PF,25,831,18.5,0.531,0.323,0.266,3.5,18.9,11,31.5,0.7,1,12.4,28.4,NA,1.1,0.8,1.9,0.113,NA,3.4,0.1,3.4,1.1
2018-19,29,DET,NBA,PF,75,2622,21,0.581,0.389,0.41,4,20.1,11.8,27.1,1,0.9,13.8,30.2,NA,5.1,2.9,8,0.147,NA,4.9,0.2,5.1,4.7
2019-20,30,DET,NBA,PF,18,512,11.9,0.476,0.444,0.392,3.7,15,9.3,18,0.7,1.1,12,28.4,NA,-0.4,0.2,-0.1,-0.012,NA,-1.7,-2.6,-4.2,-0.3
Career,NA,,NBA,,622,21671,22,0.561,0.121,0.423,7.2,21.7,14.5,22.4,1.3,1.2,11.9,28.1,NA,49.9,25.3,75.2,0.167,NA,3.6,0.2,3.8,31.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,LAC,NBA,,504,17706,22.6,0.561,0.056,0.434,7.9,22.2,15.2,21.4,1.4,1.3,11.5,27.7,NA,44,21.3,65.4,0.177,NA,3.6,0.3,3.9,26.4
3 seasons,NA,DET,NBA,,118,3965,19.3,0.558,0.382,0.378,3.9,19.2,11.3,26.8,0.9,0.9,13.3,29.6,NA,5.9,4,9.8,0.119,NA,3.7,-0.2,3.5,5.5
