Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22,PHI,NBA,SG,15,NA,252,3.7,9.1,0.406,1.9,2.4,0.765,NA,NA,4.3,3.3,NA,NA,4.7,9.3
1967-68,23,PHI,NBA,SG,13,NA,327,3.3,8.7,0.38,2.2,3,0.741,NA,NA,4.7,3.3,NA,NA,4.3,8.8
1968-69,24,PHI,NBA,SF,5,NA,100,4,9.7,0.407,1.4,1.8,0.8,NA,NA,4.3,2.9,NA,NA,4.3,9.4
1969-70,25,PHI,NBA,SG,2,NA,23,9.4,12.5,0.75,1.6,1.6,1,NA,NA,4.7,1.6,NA,NA,1.6,20.3
1970-71,26,CHI,NBA,SG,6,NA,83,3.5,6.1,0.571,1.7,2.2,0.8,NA,NA,3.5,5.2,NA,NA,3.5,8.7
1973-74,29,BUF,NBA,SG,6,NA,85,3.4,6.4,0.533,1.3,1.7,0.75,1.3,2.1,3.4,5.5,0,0.4,3.4,8
1974-75,30,CHI,NBA,SG,13,NA,202,2.1,6.2,0.343,1.2,1.4,0.875,0.7,1.8,2.5,2,1.2,0.2,3.6,5.5
Career,NA,,NBA,,60,NA,1072,3.4,8.1,0.417,1.7,2.3,0.776,0.9,1.9,4,3.3,0.9,0.3,4.1,8.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,PHI,NBA,,35,NA,702,3.7,9.1,0.41,1.9,2.6,0.76,NA,NA,4.5,3.2,NA,NA,4.4,9.4
2 seasons,NA,CHI,NBA,,19,NA,285,2.5,6.2,0.408,1.4,1.6,0.846,0.7,1.8,2.8,2.9,1.2,0.2,3.5,6.4
1 season,NA,BUF,NBA,,6,NA,85,3.4,6.4,0.533,1.3,1.7,0.75,1.3,2.1,3.4,5.5,0,0.4,3.4,8
