Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,21,WAS,NBA,SG,71,12,1373,254,605,0.42,28,77,0.364,226,528,0.428,0.443,103,133,0.774,38,91,129,108,28,6,84,142,639
2000-01,22,WAS,NBA,SF,78,42,2519,547,1249,0.438,40,146,0.274,507,1103,0.46,0.454,277,319,0.868,75,163,238,224,75,10,201,203,1411
2001-02,23,WAS,NBA,SG,63,57,2203,472,1084,0.435,16,42,0.381,456,1042,0.438,0.443,300,337,0.89,73,143,216,171,38,14,132,136,1260
2002-03,24,DET,NBA,SG,82,82,2640,570,1286,0.443,32,119,0.269,538,1167,0.461,0.456,440,528,0.833,88,230,318,208,64,13,200,249,1612
2003-04,25,DET,NBA,SG,78,78,2772,530,1166,0.455,18,68,0.265,512,1098,0.466,0.462,297,342,0.868,78,201,279,310,103,17,210,222,1375
2004-05,26,DET,NBA,SG,76,76,2926,510,1160,0.44,36,118,0.305,474,1042,0.455,0.455,368,429,0.858,74,221,295,372,77,13,217,232,1424
2005-06,27,DET,NBA,SG,80,80,2825,649,1322,0.491,55,120,0.458,594,1202,0.494,0.512,256,303,0.845,84,172,256,275,52,16,173,207,1609
2006-07,28,DET,NBA,SG,75,75,2763,547,1170,0.468,44,129,0.341,503,1041,0.483,0.486,347,403,0.861,75,207,282,285,59,15,159,232,1485
2007-08,29,DET,NBA,SG,72,72,2424,499,1030,0.484,62,141,0.44,437,889,0.492,0.515,184,221,0.833,75,160,235,299,73,10,132,171,1244
2008-09,30,DET,NBA,SG,67,51,2279,466,1043,0.447,70,190,0.368,396,853,0.464,0.48,223,263,0.848,44,163,207,297,40,4,133,176,1225
2009-10,31,DET,NBA,SG,46,46,1552,293,717,0.409,41,138,0.297,252,579,0.435,0.437,204,241,0.846,30,92,122,202,30,3,115,115,831
2010-11,32,DET,NBA,SG,55,39,1498,288,671,0.429,55,144,0.382,233,527,0.442,0.47,146,172,0.849,24,102,126,171,39,4,88,95,777
2011-12,33,CHI,NBA,SG,28,28,697,140,310,0.452,17,46,0.37,123,264,0.466,0.479,29,37,0.784,20,46,66,84,12,1,49,56,326
2012-13,34,CHI,NBA,SG,50,45,1088,204,475,0.429,16,52,0.308,188,423,0.444,0.446,66,77,0.857,16,67,83,119,24,5,84,93,490
Career,NA,,NBA,,921,783,29559,5969,13288,0.449,530,1530,0.346,5439,11758,0.463,0.469,3240,3805,0.852,794,2058,2852,3125,714,131,1977,2329,15708
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,DET,NBA,,631,599,21679,4352,9565,0.455,413,1167,0.354,3939,8398,0.469,0.477,2465,2902,0.849,572,1548,2120,2419,537,95,1427,1699,11582
3 seasons,NA,WAS,NBA,,212,111,6095,1273,2938,0.433,84,265,0.317,1189,2673,0.445,0.448,680,789,0.862,186,397,583,503,141,30,417,481,3310
2 seasons,NA,CHI,NBA,,78,73,1785,344,785,0.438,33,98,0.337,311,687,0.453,0.459,95,114,0.833,36,113,149,203,36,6,133,149,816
