Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993-94,22,ORL,NBA,PG,82,82,3015,509,1092,0.466,50,187,0.267,459,905,0.507,0.489,245,330,0.742,192,247,439,544,190,51,292,205,1313
1994-95,23,ORL,NBA,PG,77,77,2901,585,1142,0.512,87,249,0.349,498,893,0.558,0.55,356,463,0.769,139,197,336,551,130,26,258,158,1613
1995-96,24,ORL,NBA,PG,82,82,3015,623,1215,0.513,89,283,0.314,534,932,0.573,0.549,445,580,0.767,129,225,354,582,166,41,229,160,1780
1996-97,25,ORL,NBA,PG,59,59,2221,421,941,0.447,85,267,0.318,336,674,0.499,0.493,283,345,0.82,82,181,263,332,93,35,145,123,1210
1997-98,26,ORL,NBA,SG,19,15,625,103,273,0.377,15,50,0.3,88,223,0.395,0.405,90,118,0.763,8,68,76,68,28,15,46,45,311
1998-99,27,ORL,NBA,SG,50,50,1944,301,717,0.42,40,140,0.286,261,577,0.452,0.448,149,211,0.706,74,210,284,266,111,23,150,111,791
1999-00,28,PHO,NBA,SG,60,60,2253,378,798,0.474,33,102,0.324,345,696,0.496,0.494,226,286,0.79,91,256,347,315,94,38,153,164,1015
2000-01,29,PHO,NBA,SG,4,4,112,15,36,0.417,2,8,0.25,13,28,0.464,0.444,7,11,0.636,5,13,18,15,6,1,3,6,39
2001-02,30,PHO,NBA,SG,80,55,2462,389,931,0.418,23,83,0.277,366,848,0.432,0.43,158,195,0.81,98,252,350,324,122,32,189,184,959
2002-03,31,PHO,NBA,SG,58,51,1777,256,573,0.447,26,73,0.356,230,500,0.46,0.469,77,97,0.794,66,192,258,235,66,26,145,150,615
2003-04,32,TOT,NBA,SG,76,14,2095,279,679,0.411,30,79,0.38,249,600,0.415,0.433,111,138,0.804,69,218,287,176,70,20,107,146,699
2003-04,32,PHO,NBA,SG,34,10,876,120,271,0.443,14,35,0.4,106,236,0.449,0.469,42,49,0.857,27,71,98,97,28,8,42,65,296
2003-04,32,NYK,NBA,SG,42,4,1219,159,408,0.39,16,44,0.364,143,364,0.393,0.409,69,89,0.775,42,147,189,79,42,12,65,81,403
2004-05,33,NYK,NBA,SF,37,0,894,110,260,0.423,15,50,0.3,95,210,0.452,0.452,34,46,0.739,19,70,89,74,28,3,50,79,269
2005-06,34,NYK,NBA,SF,4,0,72,4,14,0.286,0,1,0,4,13,0.308,0.286,2,2,1,0,10,10,8,2,0,6,7,10
2007-08,36,MIA,NBA,SF,16,8,325,22,60,0.367,8,19,0.421,14,41,0.341,0.433,8,9,0.889,3,32,35,35,19,1,13,24,60
Career,NA,,NBA,,704,557,23711,3995,8731,0.458,503,1591,0.316,3492,7140,0.489,0.486,2191,2831,0.774,975,2171,3146,3525,1125,312,1786,1562,10684
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,ORL,NBA,,369,365,13721,2542,5380,0.472,366,1176,0.311,2176,4204,0.518,0.507,1568,2047,0.766,624,1128,1752,2343,718,191,1120,802,7018
5 seasons,NA,PHO,NBA,,236,180,7480,1158,2609,0.444,98,301,0.326,1060,2308,0.459,0.463,510,638,0.799,287,784,1071,986,316,105,532,569,2924
3 seasons,NA,NYK,NBA,,83,4,2185,273,682,0.4,31,95,0.326,242,587,0.412,0.423,105,137,0.766,61,227,288,161,72,15,121,167,682
1 season,NA,MIA,NBA,,16,8,325,22,60,0.367,8,19,0.421,14,41,0.341,0.433,8,9,0.889,3,32,35,35,19,1,13,24,60
