Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1998-99,18,IND,NBA,PF,21,160,6.4,0.359,0.089,0.268,15.1,13.8,14.5,5.2,1.4,0.9,14.9,22,NA,-0.3,0.1,-0.2,-0.049,NA,-6.2,-2.8,-9,-0.3
1999-00,19,IND,NBA,PF,50,854,10.8,0.524,0.129,0.42,6.4,14.2,10.4,7.1,1.5,0.7,17.2,20.1,NA,0.1,0.9,1,0.057,NA,-3.3,-0.1,-3.4,-0.3
2000-01,20,IND,NBA,PF,78,1892,10.2,0.479,0.013,0.289,7.4,15.2,11.4,11.8,1.8,0.7,19.5,18.8,NA,-1,2.2,1.2,0.031,NA,-3.3,-0.1,-3.4,-0.7
2001-02,21,IND,NBA,PF,44,1313,14.3,0.526,0.006,0.298,8.5,15.1,11.9,7.3,1.6,1.1,12.5,21.6,NA,1.2,1.4,2.6,0.094,NA,-1.5,-0.4,-1.9,0
2002-03,22,IND,NBA,SF,82,2467,12.4,0.493,0.051,0.306,7.4,15.7,11.6,8.8,1.5,1,13.8,21.6,NA,0.7,3.2,3.9,0.075,NA,-2.3,-0.5,-2.8,-0.5
2003-04,23,IND,NBA,PF,79,2441,14.9,0.514,0.085,0.277,7.8,16.9,12.3,10.3,1.8,0.7,13.8,22.9,NA,1.8,4.1,5.9,0.116,NA,-0.9,0.2,-0.7,0.8
2004-05,24,ATL,NBA,SF,66,2550,14.4,0.508,0.075,0.356,6.3,15.2,10.5,14.5,1.8,0.5,15.2,23.6,NA,0.6,1,1.6,0.03,NA,-0.7,-1.4,-2.2,-0.1
2005-06,25,ATL,NBA,PF,76,2782,16,0.513,0.157,0.287,5.5,17.4,11.3,15.8,1.6,0.4,12.4,25.6,NA,2.6,1.2,3.8,0.065,NA,0.4,-1.7,-1.3,0.5
2006-07,26,TOT,NBA,PF,78,2563,14.8,0.54,0.271,0.223,6.5,15.4,10.9,9.8,1.3,0.7,12.4,23.1,NA,2,2.2,4.3,0.08,NA,0.3,-1.2,-0.9,0.7
2006-07,26,IND,NBA,PF,36,1208,13.4,0.538,0.242,0.207,6.7,15.1,10.8,7.8,1.1,0.6,14.6,23.1,NA,0.3,1.1,1.5,0.059,NA,-0.4,-1.2,-1.6,0.1
2006-07,26,GSW,NBA,PF,42,1355,16.1,0.542,0.294,0.237,6.4,15.7,10.9,11.6,1.4,0.8,10.6,23.1,NA,1.7,1.1,2.8,0.099,NA,0.9,-1.2,-0.3,0.6
2007-08,27,GSW,NBA,C,81,2190,15.6,0.547,0.442,0.206,5,16.9,10.7,8.9,1.6,0.5,8.2,21.1,NA,3.7,1.7,5.4,0.118,NA,1,-0.8,0.2,1.2
2008-09,28,TOT,NBA,PF,73,2546,15.9,0.547,0.388,0.243,4.1,15.8,9.8,6.8,1.7,0.6,10.7,25.7,NA,1.9,2,3.9,0.073,NA,0.7,-0.9,-0.2,1.2
2008-09,28,GSW,NBA,PF,5,166,8.8,0.417,0.4,0.143,6.6,11.8,9.2,8.9,2.1,0,8.6,20.9,NA,-0.2,0.1,-0.1,-0.03,NA,-1.5,-0.9,-2.3,0
2008-09,28,NYK,NBA,PF,68,2380,16.4,0.555,0.387,0.25,4,16.1,9.8,6.6,1.7,0.7,10.8,26,NA,2.1,1.9,4,0.08,NA,0.9,-0.9,0,1.2
2009-10,29,NYK,NBA,PF,72,2195,16.8,0.546,0.397,0.308,4.5,16.7,10.5,8.6,1.4,0.9,10.1,26.8,NA,2.2,1.3,3.5,0.077,NA,0.8,-1.6,-0.8,0.6
2010-11,30,DEN,NBA,PF,73,1665,12.3,0.527,0.486,0.173,5.4,17.2,11.5,9.6,1.2,0.5,12.7,22.3,NA,0.6,1.5,2.1,0.06,NA,-0.6,-1.1,-1.7,0.1
2011-12,31,DEN,NBA,PF,64,1761,15.3,0.535,0.392,0.228,4.9,20.4,12.9,8.2,1.7,0.5,11.6,24.4,NA,1.6,1.6,3.2,0.088,NA,0.5,-0.8,-0.4,0.7
2012-13,32,ORL,NBA,C,10,119,10.3,0.434,0.526,0.07,5.7,19.9,12.8,13.7,1.8,0.6,10.6,25.1,NA,-0.1,0.1,0,-0.012,NA,-3,-1.5,-4.5,-0.1
2013-14,33,WAS,NBA,PF,34,511,9.7,0.506,0.483,0.169,3.3,15,9.1,8.7,1.4,0,13.3,22.7,NA,-0.2,0.5,0.4,0.035,NA,-3.2,-1,-4.2,-0.3
Career,NA,,NBA,,981,28009,14.3,0.523,0.245,0.268,6.1,16.4,11.2,10.1,1.6,0.7,12.7,23.2,NA,17.4,25,42.5,0.073,NA,-0.6,-0.9,-1.5,3.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,IND,NBA,,390,10335,12.7,0.507,0.08,0.29,7.6,15.6,11.6,9.2,1.6,0.8,14.9,21.4,NA,2.8,13,15.9,0.074,NA,-1.9,-0.3,-2.3,-0.8
2 seasons,NA,ATL,NBA,,142,5332,15.2,0.511,0.12,0.318,5.9,16.3,10.9,15.1,1.7,0.4,13.7,24.7,NA,3.2,2.2,5.4,0.048,NA,-0.1,-1.6,-1.7,0.4
2 seasons,NA,NYK,NBA,,140,4575,16.6,0.55,0.392,0.277,4.2,16.4,10.1,7.6,1.6,0.8,10.5,26.4,NA,4.3,3.2,7.5,0.079,NA,0.8,-1.2,-0.4,1.8
2 seasons,NA,DEN,NBA,,137,3426,13.8,0.531,0.436,0.202,5.2,18.9,12.2,8.9,1.4,0.5,12.1,23.4,NA,2.2,3.1,5.3,0.075,NA,-0.1,-1,-1,0.8
3 seasons,NA,GSW,NBA,,128,3711,15.5,0.54,0.385,0.215,5.6,16.2,10.7,9.9,1.6,0.6,9.1,21.8,NA,5.2,2.8,8.1,0.104,NA,0.9,-1,-0.1,1.8
1 season,NA,WAS,NBA,,34,511,9.7,0.506,0.483,0.169,3.3,15,9.1,8.7,1.4,0,13.3,22.7,NA,-0.2,0.5,0.4,0.035,NA,-3.2,-1,-4.2,-0.3
1 season,NA,ORL,NBA,,10,119,10.3,0.434,0.526,0.07,5.7,19.9,12.8,13.7,1.8,0.6,10.6,25.1,NA,-0.1,0.1,0,-0.012,NA,-3,-1.5,-4.5,-0.1
