Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,21,DAL,NBA,PG,9,0,80,7,16,0.438,2,6,0.333,5,10,0.5,0.5,6,9,0.667,0,11,11,11,4,1,10,5,22
2005-06,22,DAL,NBA,PG,23,15,558,82,171,0.48,0,8,0,82,163,0.503,0.48,52,74,0.703,15,24,39,50,18,3,42,69,216
2006-07,23,DAL,NBA,PG,6,6,163,31,63,0.492,3,10,0.3,28,53,0.528,0.516,14,19,0.737,1,11,12,30,6,1,9,23,79
2011-12,28,UTA,NBA,PG,4,4,120,19,48,0.396,4,15,0.267,15,33,0.455,0.438,10,14,0.714,0,6,6,15,3,2,12,14,52
2012-13,29,ATL,NBA,SG,6,6,225,23,63,0.365,5,25,0.2,18,38,0.474,0.405,17,25,0.68,2,15,17,22,10,1,12,18,68
2013-14,30,DAL,NBA,PG,7,0,176,31,66,0.47,11,25,0.44,20,41,0.488,0.553,7,8,0.875,1,16,17,27,2,2,11,13,80
2014-15,31,DAL,NBA,PG,4,0,74,8,23,0.348,0,11,0,8,12,0.667,0.348,8,9,0.889,1,7,8,4,2,0,4,10,24
2015-16,32,DAL,NBA,PG,5,0,121,15,30,0.5,4,13,0.308,11,17,0.647,0.567,5,10,0.5,1,13,14,8,3,0,3,16,39
Career,NA,,NBA,,64,31,1517,216,480,0.45,29,113,0.257,187,367,0.51,0.48,119,168,0.708,21,103,124,167,48,10,103,168,580
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,DAL,NBA,,54,21,1172,174,369,0.472,20,73,0.274,154,296,0.52,0.499,92,129,0.713,19,82,101,130,35,7,79,136,460
1 season,NA,ATL,NBA,,6,6,225,23,63,0.365,5,25,0.2,18,38,0.474,0.405,17,25,0.68,2,15,17,22,10,1,12,18,68
1 season,NA,UTA,NBA,,4,4,120,19,48,0.396,4,15,0.267,15,33,0.455,0.438,10,14,0.714,0,6,6,15,3,2,12,14,52
