Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1996-97,24,BOS,NBA,PG,29,326,10.6,0.536,0.456,0.221,3,8.4,5.5,28.8,2.5,0.2,27.3,13.5,NA,0.1,0.1,0.2,0.033,NA,-2.9,-1,-3.9,-0.2
1998-99,26,SAC,NBA,PG,24,203,7.2,0.436,0.475,0.075,5.2,7.8,6.5,18.5,0.7,0.3,23.9,11.4,NA,0,0.1,0,0.011,NA,-2.5,-1.2,-3.7,-0.1
1999-00,27,CHH,NBA,PG,12,36,8.8,0.288,0.385,0.154,0,21.4,10.9,54.8,0,0,17.8,21,NA,-0.1,0,0,-0.063,NA,-3.5,-3,-6.5,0
2000-01,28,CLE,NBA,PG,10,76,3.7,0.444,0.444,0,3.1,4.6,3.8,24.8,1.4,0,40,8.9,NA,0,0,0,-0.022,NA,-4.7,-0.6,-5.3,-0.1
Career,NA,,NBA,,75,641,8.6,0.476,0.454,0.154,3.5,8.5,5.9,26.6,1.6,0.2,26.5,12.7,NA,0,0.2,0.2,0.014,NA,-3,-1.2,-4.1,-0.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,BOS,NBA,,29,326,10.6,0.536,0.456,0.221,3,8.4,5.5,28.8,2.5,0.2,27.3,13.5,NA,0.1,0.1,0.2,0.033,NA,-2.9,-1,-3.9,-0.2
1 season,NA,SAC,NBA,,24,203,7.2,0.436,0.475,0.075,5.2,7.8,6.5,18.5,0.7,0.3,23.9,11.4,NA,0,0.1,0,0.011,NA,-2.5,-1.2,-3.7,-0.1
1 season,NA,CHH,NBA,,12,36,8.8,0.288,0.385,0.154,0,21.4,10.9,54.8,0,0,17.8,21,NA,-0.1,0,0,-0.063,NA,-3.5,-3,-6.5,0
1 season,NA,CLE,NBA,,10,76,3.7,0.444,0.444,0,3.1,4.6,3.8,24.8,1.4,0,40,8.9,NA,0,0,0,-0.022,NA,-4.7,-0.6,-5.3,-0.1
