Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1963-64,22,NYK,NBA,SG,75,NA,2236,7,16.1,0.431,NA,NA,NA,7,16.1,0.431,4.7,6.8,0.685,NA,NA,4.8,4.1,NA,3.7,18.6
1964-65,23,NYK,NBA,SG,55,NA,663,6.2,14.5,0.427,NA,NA,NA,6.2,14.5,0.427,4.8,7.2,0.667,NA,NA,5.4,4.3,NA,5.2,17.2
1965-66,24,TOT,NBA,,17,NA,120,5.4,15.6,0.346,NA,NA,NA,5.4,15.6,0.346,4.2,6.6,0.636,NA,NA,5.1,3.3,NA,6.9,15
1965-66,24,CIN,NBA,,11,NA,100,5.4,15.5,0.349,NA,NA,NA,5.4,15.5,0.349,3.6,6.1,0.588,NA,NA,4.7,2.5,NA,6.8,14.4
1965-66,24,PHI,NBA,,6,NA,20,5.4,16.2,0.333,NA,NA,NA,5.4,16.2,0.333,7.2,9,0.8,NA,NA,7.2,7.2,NA,7.2,18
1967-68,26,TOT,ABA,SF-SG,73,NA,2555,6.4,14.9,0.432,0.5,1.9,0.261,5.9,13,0.457,5.6,7.7,0.731,NA,NA,7,3.9,3.4,2.6,19
1967-68,26,NJA,ABA,SG,19,NA,439,8,20.7,0.385,0.2,1.4,0.176,7.7,19.3,0.4,5.3,8.3,0.644,NA,NA,5.7,3,4.4,2.9,21.5
1967-68,26,PTP,ABA,SF,54,NA,2116,6.1,13.7,0.447,0.5,2,0.274,5.6,11.7,0.476,5.7,7.6,0.751,NA,NA,7.2,4.1,3.1,2.6,18.5
1968-69,27,MNP,ABA,SF,71,NA,2362,5.3,12.7,0.421,0.6,1.8,0.314,4.8,10.9,0.438,4.3,6.2,0.697,3.4,4.1,7.5,3.3,2.5,3,15.6
1969-70,28,TOT,ABA,SG,19,NA,310,5.5,12.3,0.443,0,0.5,0,5.5,11.8,0.461,5.3,7.5,0.708,3.8,2.8,6.6,2.9,4.5,3.7,16.3
1969-70,28,PTP,ABA,,1,NA,4,0,9,0,0,0,NA,0,9,0,0,0,NA,0,0,0,0,9,9,0
1969-70,28,MMF,ABA,SG,18,NA,306,5.5,12.4,0.448,0,0.5,0,5.5,11.9,0.465,5.4,7.6,0.708,3.9,2.8,6.7,2.9,4.5,3.6,16.5
Career,NA,,TOT,,310,NA,8246,6.2,14.5,0.427,0.5,1.8,0.281,5.9,13.4,0.44,4.9,7,0.703,3.4,4,6.4,3.8,3,3.3,17.6
,NA,,ABA,,163,NA,5227,5.9,13.7,0.428,0.5,1.8,0.281,5.4,12,0.449,5,7,0.716,3.4,4,7.2,3.6,3,2.9,17.3
,NA,,NBA,,147,NA,3019,6.7,15.8,0.427,NA,NA,NA,6.7,15.8,0.427,4.7,6.9,0.679,NA,NA,4.9,4.1,NA,4.1,18.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NYK,NBA,,130,NA,2899,6.8,15.8,0.43,NA,NA,NA,6.8,15.8,0.43,4.7,6.9,0.681,NA,NA,4.9,4.2,NA,4,18.2
3 seasons,NA,"PTP,MNP",ABA,,126,NA,4482,5.7,13.2,0.433,0.6,1.9,0.294,5.1,11.3,0.457,5,6.9,0.725,3.4,4.1,7.4,3.7,2.8,2.8,16.9
1 season,NA,NJA,ABA,,19,NA,439,8,20.7,0.385,0.2,1.4,0.176,7.7,19.3,0.4,5.3,8.3,0.644,NA,NA,5.7,3,4.4,2.9,21.5
1 season,NA,MMF,ABA,,18,NA,306,5.5,12.4,0.448,0,0.5,0,5.5,11.9,0.465,5.4,7.6,0.708,3.9,2.8,6.7,2.9,4.5,3.6,16.5
1 season,NA,CIN,NBA,,11,NA,100,5.4,15.5,0.349,NA,NA,NA,5.4,15.5,0.349,3.6,6.1,0.588,NA,NA,4.7,2.5,NA,6.8,14.4
1 season,NA,PHI,NBA,,6,NA,20,5.4,16.2,0.333,NA,NA,NA,5.4,16.2,0.333,7.2,9,0.8,NA,NA,7.2,7.2,NA,7.2,18
