,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1994-95,22,DET,NBA,,13,27,2,2,13,27,16,18,8,11,16,11,6,3,8,6,33,32.0
1995-96,23,DET,NBA,,13,24,2,3,13,24,15,19,6,17,17,13,4,3,8,6,35,34.1
1996-97,24,DET,NBA,52:51,13,27,1,3,13,27,14,21,7,15,18,14,5,3,8,5,38,35.4
1997-98,25,DET,NBA,54:34,15,29,1,2,15,29,15,18,5,15,16,14,6,4,10,6,37,32.0
1998-99,26,DET,NBA,44:20,14,29,0,2,14,27,18,22,5,10,14,11,5,3,8,5,46,40.9
1999-00,27,DET,NBA,52:14,17,35,3,5,16,32,17,18,6,12,13,12,4,4,8,5,42,37.5
2000-01,28,ORL,NBA,38:39,7,15,1,1,7,14,5,8,5,8,9,10,2,1,5,4,19,17.6
2001-02,29,ORL,NBA,48:27,10,19,0,1,10,19,9,10,8,13,16,9,2,2,6,6,28,24.9
2002-03,30,ORL,NBA,45:26,11,18,1,2,11,18,17,17,5,13,15,9,3,3,7,5,29,27.8
2004-05,32,ORL,NBA,42:41,13,27,2,2,13,27,15,16,5,8,12,9,5,3,7,6,39,35.2
2005-06,33,ORL,NBA,38:03,10,19,1,2,10,18,11,13,3,6,8,5,5,2,5,5,28,27.0
2006-07,34,ORL,NBA,48:17,10,18,1,2,10,18,14,16,4,6,8,7,4,2,7,6,25,22.5
2007-08,35,PHO,NBA,43:24,13,18,3,8,12,18,10,11,6,9,15,10,6,3,5,5,28,27.6
2008-09,36,PHO,NBA,45:11,12,25,2,3,12,24,13,16,8,11,11,12,6,4,7,5,27,24.1
2009-10,37,PHO,NBA,42:45,9,17,3,5,9,16,10,10,4,10,13,8,4,3,5,6,23,21.8
2010-11,38,PHO,NBA,46:36,14,26,4,7,12,20,12,14,6,9,12,8,3,2,5,6,34,26.6
2011-12,39,PHO,NBA,38:25,9,16,2,4,8,15,6,7,3,7,8,7,4,3,8,5,22,17.4
2012-13,40,LAC,NBA,25:14,3,8,1,2,3,8,2,4,1,5,5,4,2,2,3,5,8,9.0
Career,,,,54:34,17,35,4,8,16,32,18,22,8,17,18,14,6,4,10,6,46,40.9
6 Seasons,,DET,NBA,54:34,17,35,3,5,16,32,18,22,8,17,18,14,6,4,10,6,46,40.9
5 Seasons,,PHO,NBA,46:36,14,26,4,8,12,24,13,16,8,11,15,12,6,4,8,6,34,27.6
6 Seasons,,ORL,NBA,48:27,13,27,2,2,13,27,17,17,8,13,16,10,5,3,7,6,39,35.2
1 Season,,LAC,NBA,25:14,3,8,1,2,3,8,2,4,1,5,5,4,2,2,3,5,8,9.0
