Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1991-92,22,DAL,NBA,PF,51,1058,13.8,0.541,0,0.457,11.5,16.3,13.8,5.8,1.2,1.3,16,19.1,NA,0.7,0.8,1.5,0.069,NA,-1.3,-1.2,-2.5,-0.1
1992-93,23,DAL,NBA,C,79,1267,8.3,0.441,0,0.26,7.3,18.8,12.5,8.8,1.3,1.9,16.8,17.2,NA,-1.3,0.5,-0.9,-0.032,NA,-4.8,-1.1,-5.9,-1.3
1993-94,24,DAL,NBA,C,50,428,13.1,0.549,0,0.515,11.2,13.9,12.5,11.2,1.8,2.1,19.5,15.2,NA,0.5,0.3,0.8,0.087,NA,-1.6,0.1,-1.5,0.1
1994-95,25,DAL,NBA,C,54,633,8.5,0.461,0.069,0.25,6.5,14.8,10.4,9.5,0.8,1.5,14.7,17.3,NA,-0.1,0.4,0.3,0.026,NA,-4.6,-0.4,-4.9,-0.5
1995-96,26,TOT,NBA,C,15,115,5.9,0.375,0,0,7.5,14.1,10.6,4.9,0.4,4.8,7.7,9.4,NA,0,0.1,0.1,0.026,NA,-7.4,0.9,-6.5,-0.1
1995-96,26,DAL,NBA,C,13,113,5.8,0.375,0,0,7.7,13.2,10.2,5,0.4,4.9,7.7,9.6,NA,0,0.1,0.1,0.025,NA,-7.5,0.9,-6.6,-0.1
1995-96,26,CHH,NBA,C,2,2,8,NA,NA,NA,0,62,30.3,0,0,0,NA,0,NA,0,0,0,0.076,NA,-1.1,-0.1,-1.2,0
Career,NA,,NBA,,249,3501,10.5,0.487,0.013,0.338,8.9,16.6,12.5,8.2,1.2,1.8,16.3,17.3,NA,-0.3,2.1,1.8,0.025,NA,-3.4,-0.8,-4.2,-2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,DAL,NBA,,247,3499,10.5,0.487,0.013,0.338,8.9,16.5,12.5,8.2,1.2,1.8,16.3,17.3,NA,-0.3,2.1,1.8,0.025,NA,-3.4,-0.8,-4.2,-2
1 season,NA,CHH,NBA,,2,2,8,NA,NA,NA,0,62,30.3,0,0,0,NA,0,NA,0,0,0,0.076,NA,-1.1,-0.1,-1.2,0
