Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986-87,23,PHO,NBA,SG,80,3,19.5,2,4.4,0.454,0.2,0.5,0.279,1.8,3.8,0.479,0.471,1.2,1.5,0.777,0.5,1.8,2.3,4.5,0.9,0.1,1.9,1.6,5.3
1987-88,24,PHO,NBA,SG,82,49,27.4,3.7,7.4,0.506,0.2,0.7,0.293,3.5,6.7,0.528,0.52,1.9,2.3,0.822,0.9,2.3,3.2,6.6,1.3,0.1,1.9,1.8,9.5
1988-89,25,PHO,NBA,SG,78,73,31.9,5.6,11.4,0.495,0.3,1,0.333,5.3,10.4,0.511,0.51,1.9,2.3,0.826,1,2.4,3.4,6,1.7,0.1,1.4,2.4,13.5
1989-90,26,PHO,NBA,SG,67,60,34,7.2,13.4,0.536,0.6,1.5,0.408,6.6,12,0.552,0.558,2.6,3,0.856,1.3,3.4,4.7,5,1.7,0.2,1.9,2.1,17.6
1990-91,27,PHO,NBA,SG,80,77,34.2,6.8,13.1,0.518,0.8,1.8,0.418,6,11.3,0.534,0.547,2.5,2.8,0.897,0.9,3.1,4,5.1,1.4,0.2,1.6,2.3,16.9
1991-92,28,PHO,NBA,SG,81,81,38,7.8,15.3,0.512,1,2.3,0.439,6.8,13,0.525,0.546,3.4,3.9,0.886,1.3,3.7,5,5.1,2,0.4,2.1,2.7,20.1
1992-93,29,PHI,NBA,PG,79,78,36.2,7.4,15.7,0.47,1.2,3.2,0.39,6.1,12.5,0.49,0.509,3.2,3.7,0.865,1.1,3.3,4.3,6.9,1.7,0.3,2.8,2.6,19.1
1993-94,30,TOT,NBA,SG,80,62,35.3,5.9,12.6,0.47,0.9,2.6,0.337,5,10,0.505,0.505,3.3,3.7,0.878,0.8,2.7,3.5,5.2,1.6,0.2,2.1,2.3,15.9
1993-94,30,PHI,NBA,SG,53,53,37.6,6.1,13.5,0.455,1,3.1,0.313,5.2,10.4,0.497,0.491,3.4,3.8,0.873,0.8,3.2,4,5.9,1.8,0.2,2.6,2.2,16.6
1993-94,30,UTA,NBA,SG,27,9,30.6,5.4,10.7,0.509,0.7,1.6,0.429,4.8,9.1,0.522,0.54,3,3.4,0.891,0.7,1.8,2.5,3.9,1.2,0.1,1.2,2.6,14.6
1994-95,31,UTA,NBA,SG,81,81,33.3,6,11.6,0.514,1.1,2.7,0.406,4.9,8.9,0.547,0.562,3.5,4,0.882,0.7,1.9,2.6,4.3,1.6,0.2,1.8,2.2,16.5
1995-96,32,UTA,NBA,SG,82,59,31.6,5.4,10.7,0.502,1.3,2.7,0.466,4.1,8,0.514,0.561,3.2,3.5,0.893,0.8,1.8,2.5,4.1,1.3,0.2,1.5,2.1,15.2
1996-97,33,UTA,NBA,SG,82,82,31.6,5,10.4,0.482,0.9,2.4,0.369,4.2,8.1,0.516,0.525,3.6,4,0.899,0.7,2.2,2.9,4.4,1.5,0.3,1.6,2.3,14.5
1997-98,34,UTA,NBA,SG,80,80,30.8,5,10.4,0.482,0.7,1.6,0.441,4.3,8.8,0.489,0.516,3.6,4,0.885,0.8,2.6,3.4,4.4,1.4,0.2,1.7,2.2,14.2
1998-99,35,UTA,NBA,SG,48,48,29.9,4.5,9.4,0.477,0.7,1.7,0.42,3.8,7.7,0.489,0.514,2.6,2.9,0.893,0.7,2.6,3.3,4,1.1,0.3,1.7,2,12.2
1999-00,36,UTA,NBA,SG,77,77,27.7,4.6,9.5,0.492,0.9,1.8,0.478,3.8,7.7,0.495,0.537,2.2,2.3,0.95,0.6,1.7,2.4,2.6,0.9,0.2,1.5,1.9,12.4
Career,NA,,NBA,,1077,910,31.5,5.5,11.1,0.496,0.8,1.9,0.403,4.7,9.2,0.515,0.53,2.8,3.1,0.877,0.9,2.5,3.4,4.9,1.4,0.2,1.8,2.2,14.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,UTA,NBA,,477,436,30.9,5.1,10.4,0.494,0.9,2.1,0.428,4.2,8.3,0.511,0.538,3.1,3.5,0.897,0.7,2.1,2.8,4,1.3,0.2,1.6,2.2,14.4
6 seasons,NA,PHO,NBA,,468,343,30.7,5.5,10.8,0.51,0.5,1.3,0.39,5,9.4,0.526,0.534,2.2,2.6,0.854,1,2.8,3.7,5.4,1.5,0.2,1.8,2.2,13.7
2 seasons,NA,PHI,NBA,,132,131,36.8,6.9,14.8,0.464,1.1,3.1,0.359,5.7,11.7,0.493,0.502,3.2,3.7,0.868,0.9,3.3,4.2,6.5,1.7,0.2,2.7,2.4,18.1
