Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1979-80,23,DET,NBA,PF,64,NA,1189,210,451,0.466,0,2,0,210,449,0.468,0.466,165,220,0.75,114,206,320,70,48,10,120,202,585
1980-81,24,DET,NBA,PF,80,NA,2289,433,880,0.492,1,3,0.333,432,877,0.493,0.493,294,426,0.69,236,350,586,150,80,20,229,317,1161
1981-82,25,TOT,NBA,SF,83,40,1839,326,665,0.49,0,4,0,326,661,0.493,0.49,191,280,0.682,187,286,473,91,65,19,161,292,843
1981-82,25,DET,NBA,SF,52,38,1104,207,410,0.505,0,3,0,207,407,0.509,0.505,106,163,0.65,101,171,272,67,38,16,99,176,520
1981-82,25,CLE,NBA,SF,31,2,735,119,255,0.467,0,1,0,119,254,0.469,0.467,85,117,0.726,86,115,201,24,27,3,62,116,323
1982-83,26,CLE,NBA,SF,82,38,1953,288,597,0.482,0,2,0,288,595,0.484,0.482,204,296,0.689,222,249,471,89,87,8,158,271,780
1983-84,27,CLE,NBA,SF,80,6,1799,321,628,0.511,0,1,0,321,627,0.512,0.511,221,299,0.739,172,208,380,86,71,6,115,244,863
1984-85,28,CLE,NBA,SF,76,55,2249,415,822,0.505,0,4,0,415,818,0.507,0.505,371,494,0.751,214,265,479,114,81,9,178,258,1201
1985-86,29,CLE,NBA,SF,23,21,640,93,198,0.47,0,1,0,93,197,0.472,0.47,76,112,0.679,48,72,120,29,20,3,66,78,262
1986-87,30,CLE,NBA,SF,68,68,2083,321,605,0.531,0,4,0,321,601,0.534,0.531,162,272,0.596,178,210,388,136,66,7,156,224,804
1987-88,31,CLE,NBA,SF,78,59,1631,237,485,0.489,0,5,0,237,480,0.494,0.489,182,243,0.749,117,164,281,81,50,7,118,167,656
1988-89,32,CLE,NBA,SF,31,0,191,28,63,0.444,0,0,NA,28,63,0.444,0.444,17,25,0.68,14,26,40,11,6,0,9,20,73
Career,NA,,NBA,,665,287,15863,2672,5394,0.495,1,26,0.038,2671,5368,0.498,0.495,1883,2667,0.706,1502,2036,3538,857,574,89,1310,2073,7228
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,CLE,NBA,,469,249,11281,1822,3653,0.499,0,18,0,1822,3635,0.501,0.499,1318,1858,0.709,1051,1309,2360,570,408,43,862,1378,4962
3 seasons,NA,DET,NBA,,196,38,4582,850,1741,0.488,1,8,0.125,849,1733,0.49,0.489,565,809,0.698,451,727,1178,287,166,46,448,695,2266
