Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1970-71,22,BUF,NBA,C,81,2637,12,0.485,0.53,NA,NA,12.4,8.4,NA,NA,NA,1.3,1.9,3.2,0.058,NA,NA,NA,NA,NA
1971-72,23,BUF,NBA,PF,55,1186,6.4,0.412,0.428,NA,NA,9.4,7.9,NA,NA,NA,-1,0.3,-0.8,-0.031,NA,NA,NA,NA,NA
1972-73,24,BUF,NBA,PF,66,1546,11,0.475,0.442,NA,NA,9.8,11.7,NA,NA,NA,0.6,0.4,1,0.03,NA,NA,NA,NA,NA
1973-74,25,TOT,NBA,PF,53,1119,11.9,0.483,0.407,7.1,18.2,12.4,12.4,1.1,1,NA,0.4,1.2,1.6,0.067,NA,-1.1,0.4,-0.7,0.4
1973-74,25,CHI,NBA,PF,18,186,10.3,0.514,0.609,7.1,13.6,10.3,9.9,0.7,0.3,NA,0,0.2,0.3,0.066,NA,-3,0.1,-2.9,0
1973-74,25,SEA,NBA,PF,35,933,12.2,0.476,0.371,7.1,19.1,12.8,13,1.2,1.2,NA,0.4,0.9,1.3,0.067,NA,-0.8,0.5,-0.3,0.4
1974-75,26,SEA,NBA,PF,43,568,5.6,0.368,0.472,5,13.8,9.4,8.3,0.6,0.6,NA,-0.7,0.4,-0.3,-0.027,NA,-4.1,-0.7,-4.8,-0.4
1975-76,27,SEA,NBA,PF,29,364,7.6,0.476,0.612,5.8,16.3,10.9,8.5,0.7,1.3,NA,-0.2,0.3,0.1,0.019,NA,-4.2,0.2,-4.1,-0.2
Career,NA,,NBA,,327,7420,10.2,0.465,0.475,6.3,16.6,11.1,9.6,0.9,1,NA,0.4,4.4,4.8,0.031,NA,-2.5,0.1,-2.4,-0.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,BUF,NBA,,202,5369,10.5,0.468,0.484,NA,NA,11,9.2,NA,NA,NA,0.8,2.6,3.4,0.03,NA,NA,NA,NA,NA
3 seasons,NA,SEA,NBA,,107,1865,9.3,0.449,0.433,6.2,16.9,11.4,10.7,0.9,1,NA,-0.5,1.6,1.1,0.029,NA,-2.5,0.1,-2.4,-0.2
1 season,NA,CHI,NBA,,18,186,10.3,0.514,0.609,7.1,13.6,10.3,9.9,0.7,0.3,NA,0,0.2,0.3,0.066,NA,-3,0.1,-2.9,0
