Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1982-83,26,PHI,NBA,PF,80,1612,7.3,0.502,0.006,0.32,8,13.3,10.8,6.4,0.9,1.5,24.8,13.2,NA,-0.6,2.1,1.5,0.045,NA,-3.5,0.5,-3.1,-0.4
1983-84,27,PHI,NBA,PF,78,1532,8.1,0.52,0.006,0.407,6.9,15.8,11.5,8.3,1.1,2.1,24.6,13.6,NA,-0.6,2.1,1.4,0.045,NA,-3.8,0.7,-3.1,-0.4
1984-85,28,TOT,NBA,PF,69,1334,8.8,0.501,0.011,0.362,8.3,17.2,12.9,11.1,1.2,1.5,22.5,15.9,NA,-0.5,1.3,0.7,0.027,NA,-3.5,0,-3.5,-0.5
1984-85,28,PHI,NBA,PF,12,156,3.1,0.446,0,0.194,8,12.9,10.5,4.9,1.2,1.1,32.2,12.8,NA,-0.3,0.1,-0.1,-0.039,NA,-5.8,-0.4,-6.2,-0.2
1984-85,28,SAS,NBA,PF,57,1178,9.6,0.506,0.012,0.378,8.3,17.8,13.2,11.9,1.2,1.5,21.5,16.3,NA,-0.3,1.1,0.9,0.036,NA,-3.2,0,-3.2,-0.4
1985-86,29,TOT,NBA,PF,68,1014,8.7,0.502,0.008,0.471,7.2,15.8,11.6,10.3,1.5,0.9,19.6,14.6,NA,-0.1,1.1,1,0.046,NA,-3.6,0.4,-3.2,-0.3
1985-86,29,SAS,NBA,PF,42,669,8.2,0.496,0.012,0.411,7.4,14.9,11.3,9.9,1.5,1.2,20.9,14.7,NA,-0.2,0.6,0.4,0.028,NA,-3.3,0.5,-2.8,-0.2
1985-86,29,UTA,NBA,PF,26,345,9.7,0.514,0,0.593,6.7,17.4,12.2,10.9,1.3,0.5,17.1,14.4,NA,0.1,0.5,0.6,0.08,NA,-4,0.2,-3.8,-0.2
1986-87,30,UTA,NBA,PF,78,845,7.8,0.522,0.019,0.54,7.8,13.5,10.6,5.6,0.9,0.7,17.4,15.1,NA,0,1.1,1.1,0.062,NA,-4.9,-0.1,-4.9,-0.6
1987-88,31,UTA,NBA,PF,81,1238,8.6,0.518,0.006,0.321,8.5,14.5,11.6,7,0.9,1.2,19.1,14.4,NA,0,1.7,1.7,0.064,NA,-3.5,0,-3.5,-0.5
1988-89,32,UTA,NBA,PF,77,796,5.3,0.494,0.006,0.27,6.2,11.8,9.2,5.6,0.7,1,22.2,12.4,NA,-0.5,1.1,0.6,0.036,NA,-5,0.1,-4.9,-0.6
Career,NA,,NBA,,531,8371,7.9,0.509,0.009,0.381,7.6,14.7,11.3,7.9,1,1.4,21.8,14.2,NA,-2.3,10.3,8,0.046,NA,-3.9,0.3,-3.6,-3.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,UTA,NBA,,262,3224,7.7,0.514,0.009,0.4,7.6,13.9,10.8,6.7,0.9,0.9,19,14.1,NA,-0.4,4.3,3.9,0.058,NA,-4.3,0,-4.2,-1.8
3 seasons,NA,PHI,NBA,,170,3300,7.5,0.508,0.006,0.354,7.5,14.4,11.1,7.2,1,1.7,25.1,13.4,NA,-1.4,4.3,2.8,0.041,NA,-3.8,0.5,-3.2,-1
2 seasons,NA,SAS,NBA,,99,1847,9.1,0.502,0.012,0.389,8,16.8,12.5,11.2,1.3,1.4,21.3,15.7,NA,-0.5,1.7,1.3,0.033,NA,-3.3,0.2,-3.1,-0.5
