,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2009-10,20,OKC,NBA,30:17,6,11,0,0,6,11,2,4,3,6,9,1,1,7,3,5,12,9.9
2010-11,21,OKC,NBA,47:29,8,15,0,1,8,15,10,10,6,12,16,2,2,9,5,5,22,22.3
2011-12,22,OKC,NBA,40:44,11,12,1,1,11,11,4,4,7,7,11,2,2,7,2,6,26,24.9
2012-13,23,OKC,NBA,38:02,8,17,1,2,7,17,4,4,7,11,14,2,0,6,2,6,17,19.1
2013-14,24,OKC,NBA,48:34,9,12,2,2,9,10,5,6,5,9,14,3,2,5,3,5,20,18.6
2015-16,26,OKC,NBA,43:27,8,15,5,6,6,9,4,5,4,9,11,3,3,3,3,4,19,20.0
2016-17,27,TOT,NBA,35:33,10,18,4,7,8,12,2,4,3,11,14,6,2,3,2,6,23,18.6
2016-17,27,TOR,NBA,35:33,10,18,4,7,8,12,2,4,3,11,14,6,2,3,2,6,23,18.6
2017-18,28,TOR,NBA,34:10,8,11,3,4,5,8,4,4,3,10,12,2,1,4,4,6,23,22.8
2018-19,29,TOR,NBA,32:24,9,12,3,5,8,11,5,6,4,9,13,3,2,6,4,6,20,17.1
Career,,,,48:34,11,18,5,7,11,17,10,10,7,12,16,6,3,9,5,6,26,24.9
6 Seasons,,OKC,NBA,48:34,11,17,5,6,11,17,10,10,7,12,16,3,3,9,5,6,26,24.9
3 Seasons,,TOR,NBA,35:33,10,18,4,7,8,12,5,6,4,11,14,6,2,6,4,6,23,22.8
