Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,21,PHI,NBA,SG,82,82,2686,269,546,0.493,47,142,0.331,222,404,0.55,0.536,156,210,0.743,89,375,464,246,138,48,139,204,741
2005-06,22,PHI,NBA,SF,82,82,3086,344,688,0.5,56,158,0.354,288,530,0.543,0.541,263,349,0.754,117,364,481,255,135,21,153,198,1007
2006-07,23,PHI,NBA,SG,76,76,3062,443,991,0.447,48,155,0.31,395,836,0.472,0.471,452,551,0.82,77,357,434,432,152,33,261,200,1386
2007-08,24,PHI,NBA,SF,82,82,3242,582,1277,0.456,101,307,0.329,481,970,0.496,0.495,365,506,0.721,85,361,446,391,171,49,214,187,1630
2008-09,25,PHI,NBA,SF,82,82,3269,542,1147,0.473,80,261,0.307,462,886,0.521,0.507,377,521,0.724,92,379,471,434,131,36,222,152,1541
2009-10,26,PHI,NBA,SF,82,82,3193,496,1120,0.443,94,303,0.31,402,817,0.492,0.485,315,430,0.733,82,447,529,472,141,55,218,145,1401
2010-11,27,PHI,NBA,SF,67,67,2469,338,759,0.445,61,181,0.337,277,578,0.479,0.486,208,300,0.693,61,326,387,422,101,38,138,109,945
2011-12,28,PHI,NBA,SF,62,62,2209,287,632,0.454,76,193,0.394,211,439,0.481,0.514,121,196,0.617,56,325,381,339,107,30,115,92,771
2012-13,29,DEN,NBA,SG,80,80,2779,396,879,0.451,91,287,0.317,305,592,0.515,0.502,155,270,0.574,82,341,423,433,139,52,206,127,1038
2013-14,30,GSW,NBA,SF,63,63,2040,220,458,0.48,62,175,0.354,158,283,0.558,0.548,86,132,0.652,53,240,293,263,95,18,100,103,588
2014-15,31,GSW,NBA,SF,77,0,2069,231,496,0.466,74,212,0.349,157,284,0.553,0.54,68,114,0.596,44,213,257,228,89,25,88,100,604
2015-16,32,GSW,NBA,SF,65,1,1732,176,368,0.478,54,154,0.351,122,214,0.57,0.552,51,83,0.614,52,211,263,219,73,19,79,102,457
2016-17,33,GSW,NBA,SF,76,0,1998,219,415,0.528,64,177,0.362,155,238,0.651,0.605,72,102,0.706,51,253,304,261,76,39,58,97,574
2017-18,34,GSW,NBA,SF,64,7,1622,148,320,0.463,33,117,0.282,115,203,0.567,0.514,55,87,0.632,50,196,246,210,54,38,67,99,384
2018-19,35,GSW,NBA,SF,68,13,1578,151,302,0.5,48,144,0.333,103,158,0.652,0.579,39,67,0.582,48,204,252,216,61,51,52,95,389
2019-20,36,MIA,NBA,SG,14,0,259,25,51,0.49,9,24,0.375,16,27,0.593,0.578,2,8,0.25,10,43,53,28,8,16,17,28,61
Career,NA,,NBA,,1122,779,37293,4867,10449,0.466,998,2990,0.334,3869,7459,0.519,0.514,2785,3926,0.709,1049,4635,5684,4849,1671,568,2127,2038,13517
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,PHI,NBA,,615,615,23216,3301,7160,0.461,563,1700,0.331,2738,5460,0.501,0.5,2257,3063,0.737,659,2934,3593,2991,1076,310,1460,1287,9422
6 seasons,NA,GSW,NBA,,413,84,11039,1145,2359,0.485,335,979,0.342,810,1380,0.587,0.556,371,585,0.634,298,1317,1615,1397,448,190,444,596,2996
1 season,NA,DEN,NBA,,80,80,2779,396,879,0.451,91,287,0.317,305,592,0.515,0.502,155,270,0.574,82,341,423,433,139,52,206,127,1038
1 season,NA,MIA,NBA,,14,0,259,25,51,0.49,9,24,0.375,16,27,0.593,0.578,2,8,0.25,10,43,53,28,8,16,17,28,61
