Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1962-63,24,DET,NBA,C,1,2,9.7,NA,NA,NA,NA,NA,0,NA,0,0,0,0.084
1964-65,26,LAL,NBA,C,11,151,9.9,0.564,0.5,NA,NA,NA,10.9,NA,0.2,0,0.2,0.056
1965-66,27,LAL,NBA,C,14,243,9.1,0.428,0.45,NA,NA,NA,14.1,NA,-0.1,0.2,0.2,0.031
1966-67,28,LAL,NBA,C,3,86,16.7,0.573,0.208,NA,NA,NA,8,NA,0.2,0,0.2,0.111
1967-68,29,LAL,NBA,C,15,440,12.5,0.511,0.573,NA,NA,NA,8.3,NA,0.4,0.5,0.9,0.097
1968-69,30,PHI,NBA,C,5,191,19.5,0.55,0.576,NA,NA,NA,9.3,NA,0.5,0,0.5,0.116
1969-70,31,PHI,NBA,C,5,138,9.2,0.44,0.146,NA,NA,NA,9.6,NA,0,-0.1,-0.1,-0.035
Career,NA,,NBA,,54,1251,12.5,0.508,0.45,NA,NA,NA,10,NA,1.1,0.6,1.8,0.068
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,LAL,NBA,,43,920,11.6,0.507,0.486,NA,NA,NA,10.2,NA,0.7,0.7,1.4,0.074
2 seasons,NA,PHI,NBA,,10,329,15.2,0.508,0.395,NA,NA,NA,9.4,NA,0.5,-0.1,0.4,0.053
1 season,NA,DET,NBA,,1,2,9.7,NA,NA,NA,NA,NA,0,NA,0,0,0,0.084
