,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,22,VIR,ABA,,10,,1,,,,4,5,,,,,,,,,22
1971-72,23,VIR,ABA,,12,,1,,,,4,6,,,,,,,,,27
1972-73,24,VIR,ABA,,14,,2,,,,7,8,,,,,,,,,32
1973-74,25,VIR,ABA,,12,,3,,,,8,10,,,,,,,,,32
1974-75,26,VIR,ABA,,13,,2,,,,10,12,,,,,,,,,33
1975-76,27,DNA,ABA,,1,,0,,,,0,0,,,,,,,,,2
Career,,,,,14,,3,,,,10,12,,,,,,,,,33
5 Seasons,,VIR,ABA,,14,,3,,,,10,12,,,,,,,,,33
1 Season,,DNA,ABA,,1,,0,,,,0,0,,,,,,,,,2
