Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2011-12,19,CLE,NBA,PG,51,51,1558,11.8,25.2,0.469,2.5,6.2,0.399,9.3,19,0.491,5.8,6.6,0.872,1.5,5,6.4,9.3,1.8,0.7,5.4,3.7,31.8,NA,109,110
2012-13,20,CLE,NBA,PG,59,59,2048,12.3,27.2,0.452,2.8,7.1,0.391,9.5,20.1,0.474,6.3,7.4,0.855,0.9,4.6,5.5,8.9,2.3,0.5,4.9,3.7,33.7,NA,108,110
2013-14,21,CLE,NBA,PG,71,71,2496,11,25.6,0.43,2.5,7.1,0.358,8.4,18.4,0.458,6,7,0.861,1.1,4.3,5.4,8.9,2.2,0.5,3.9,3.4,30.5,NA,109,108
2014-15,22,CLE,NBA,PG,75,75,2730,11,23.5,0.468,3,7.2,0.415,8,16.3,0.491,6,7,0.863,1,3.5,4.5,7.4,2.2,0.4,3.5,2.8,31,NA,117,108
2015-16,23,CLE,NBA,PG,53,53,1667,12.2,27.1,0.448,2.6,8.1,0.321,9.6,19,0.502,5.2,5.9,0.885,1.4,3.5,4.8,7.7,1.7,0.6,3.8,3.3,32.1,NA,109,106
2016-17,24,CLE,NBA,PG,72,72,2525,13.3,28.1,0.473,3.5,8.7,0.401,9.8,19.4,0.505,5.9,6.5,0.905,1,3.5,4.5,8.3,1.6,0.5,3.6,3.1,35.9,NA,116,112
2017-18,25,BOS,NBA,PG,60,60,1931,13.8,28.1,0.491,4.3,10.5,0.408,9.5,17.6,0.541,6,6.8,0.889,0.9,5,5.9,7.9,1.7,0.4,3.6,3.2,37.9,NA,118,106
2018-19,26,BOS,NBA,PG,67,67,2214,13.1,27,0.487,3.8,9.4,0.401,9.4,17.6,0.533,4.7,5.3,0.873,1.5,5.7,7.3,10.1,2.2,0.7,3.7,3.6,34.7,NA,118,108
2019-20,27,BRK,NBA,PG,20,20,658,14.4,30,0.478,4,10.2,0.394,10.3,19.8,0.522,6.8,7.4,0.922,1.6,5.8,7.4,9.2,1.9,0.7,3.7,3.8,39.5,NA,119,109
Career,NA,,NBA,,528,528,17827,12.4,26.6,0.466,3.2,8.2,0.39,9.2,18.4,0.499,5.8,6.6,0.877,1.2,4.4,5.6,8.6,2,0.5,4,3.3,33.7,NA,114,109
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,CLE,NBA,,381,381,13024,11.9,26,0.457,2.9,7.5,0.383,9,18.6,0.486,5.9,6.8,0.873,1.1,4,5.1,8.4,2,0.5,4.1,3.3,32.5,NA,112,109
2 seasons,NA,BOS,NBA,,127,127,4145,13.5,27.5,0.489,4,9.9,0.404,9.4,17.6,0.537,5.3,6,0.881,1.2,5.4,6.6,9.1,2,0.6,3.7,3.4,36.2,NA,118,107
1 season,NA,BRK,NBA,,20,20,658,14.4,30,0.478,4,10.2,0.394,10.3,19.8,0.522,6.8,7.4,0.922,1.6,5.8,7.4,9.2,1.9,0.7,3.7,3.8,39.5,NA,119,109
