,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2008-09,27,PHI,NBA,SG,6,45,,60%,40%,,,+1.1,+12.9,0,0,2,0,1,1,0,0,1
2009-10,28,MIL,NBA,SG,3,11,66%,34%,,,,-17.7,-14.1,0,1,1,0,0,0,4,0,1
2010-11,29,OKC,NBA,SG,2,6,,,100%,,,-8.3,-10.4,0,0,0,0,0,0,3,0,0
2011-12,30,OKC,NBA,SG,5,21,7%,93%,,,,-23.4,-27.8,0,0,0,1,0,0,2,0,0
Career,,,NBA,,16,83,11%,61%,29%,,,-8.3,-2.7,0,1,3,1,1,1,9,0,2
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,OKC,NBA,,7,27,6%,72%,22%,,,-20.1,-23.9,0,0,0,1,0,0,5,0,0
1 season,,PHI,NBA,,6,45,,60%,40%,,,+1.1,+12.9,0,0,2,0,1,1,0,0,1
1 season,,MIL,NBA,,3,11,66%,34%,,,,-17.7,-14.1,0,1,1,0,0,0,4,0,1
