Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Bobby Jackson,,5.5,5.4,3.5,3.1,3.1,3,2.5,2.2,1.4,1.2,1.2,-0.6
Dell Curry,88.5,5.1,5,3.8,3.4,3.3,3.2,2.7,2,1.8,1.7,0.9,0.5
Gerald Henderson,88.2,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5
Foots Walker,85.6,6.1,5.2,4.2,3.4,3.4,3,2.3,1.5,1.5,0.3,NA,NA
Bimbo Coles,85.3,5.7,5,3.2,3,2.8,2.7,2.3,1.1,0.9,0.5,0.4,0
Eric Piatkowski,85.2,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2,1.2,0.9,0.1
Ricky Sobers,85.2,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1,0.1,NA
Eric Gordon,85.0,5.3,4.7,4.6,3.8,3.2,2.9,2.6,2.5,2.1,1.1,0.7,NA
John Long,84.6,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2,0.2,0.2,0.2
Marco Belinelli,84.2,5.9,3.7,3.4,3.2,3,2.9,2.9,2.5,1.2,0.5,0.5,0
Greg Anthony,84.0,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1,NA
