Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1998-99,28,POR,NBA,SG,13,0,265,5.6,15.5,0.361,1.1,3.9,0.278,4.5,11.6,0.389,8.2,9,0.905,1.7,4.7,6.4,4.1,1.5,0.2,3.9,5.6,20.4,NA,101,106
2002-03,32,SAC,NBA,SF,12,0,296,8.4,16.8,0.5,2.2,4.8,0.464,6.2,12,0.514,4.1,5.3,0.774,2.7,5.3,8,2.4,1.4,0.5,2.9,5.8,23.1,NA,115,111
2003-04,33,HOU,NBA,SF,5,5,221,7.2,18.1,0.397,2,7.2,0.276,5.2,10.9,0.477,2,3,0.667,0.7,12.1,12.9,2.5,1.2,0.2,2.2,2.2,18.3,NA,93,99
2004-05,34,PHO,NBA,SF,15,6,474,6.8,13.9,0.488,3.4,6.7,0.516,3.3,7.2,0.463,0.8,0.9,0.875,1.4,5.2,6.6,2.4,1.1,0.9,1.1,4.5,17.8,NA,128,116
2005-06,35,LAL,NBA,SF,3,0,21,5,15,0.333,0,2.5,0,5,12.5,0.4,0,0,NA,5,2.5,7.5,5,2.5,2.5,5,10,10,NA,75,110
Career,NA,,NBA,,48,11,1277,7,15.6,0.447,2.4,5.7,0.42,4.6,9.9,0.463,3.2,3.8,0.828,1.7,6.2,8,2.8,1.3,0.6,2.3,4.7,19.5,NA,111,110
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,PHO,NBA,,15,6,474,6.8,13.9,0.488,3.4,6.7,0.516,3.3,7.2,0.463,0.8,0.9,0.875,1.4,5.2,6.6,2.4,1.1,0.9,1.1,4.5,17.8,NA,128,116
1 season,NA,POR,NBA,,13,0,265,5.6,15.5,0.361,1.1,3.9,0.278,4.5,11.6,0.389,8.2,9,0.905,1.7,4.7,6.4,4.1,1.5,0.2,3.9,5.6,20.4,NA,101,106
1 season,NA,SAC,NBA,,12,0,296,8.4,16.8,0.5,2.2,4.8,0.464,6.2,12,0.514,4.1,5.3,0.774,2.7,5.3,8,2.4,1.4,0.5,2.9,5.8,23.1,NA,115,111
1 season,NA,HOU,NBA,,5,5,221,7.2,18.1,0.397,2,7.2,0.276,5.2,10.9,0.477,2,3,0.667,0.7,12.1,12.9,2.5,1.2,0.2,2.2,2.2,18.3,NA,93,99
1 season,NA,LAL,NBA,,3,0,21,5,15,0.333,0,2.5,0,5,12.5,0.4,0,0,NA,5,2.5,7.5,5,2.5,2.5,5,10,10,NA,75,110
