Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,21,PHO,NBA,SF,72,0,1147,3.8,10.3,0.373,1.6,5.2,0.315,2.2,5.1,0.432,2.3,3.3,0.686,0.9,1.7,2.6,2.3,1.1,0.2,1.7,2.8,11.6
2003-04,22,PHO,NBA,SF,78,13,1828,3,7.1,0.417,1.5,3.5,0.417,1.5,3.5,0.417,1.8,2.2,0.82,0.8,3.1,4,1.9,0.9,0.2,1.3,2.8,9.2
2004-05,23,TOT,NBA,SG-SF,84,1,1798,3.3,8.2,0.404,1.3,3.5,0.373,2,4.6,0.429,3,3.8,0.786,0.7,2.6,3.3,2.3,0.7,0.2,1.4,2.1,11
2004-05,23,PHO,NBA,SF,40,0,768,3,7.4,0.414,1.6,4.2,0.382,1.5,3.2,0.456,2.3,2.9,0.774,0.8,2.3,3.1,1.7,0.5,0,1.3,2.6,9.9
2004-05,23,NOH,NBA,SG,44,1,1030,3.5,8.8,0.398,1.1,3.1,0.364,2.4,5.7,0.417,3.6,4.5,0.792,0.6,2.9,3.5,2.7,0.8,0.2,1.5,1.7,11.7
2007-08,26,MEM,NBA,SG,53,0,547,2.6,7.6,0.339,1.1,4.7,0.222,1.5,2.8,0.535,0.9,1.1,0.765,0.8,3.5,4.3,1.3,0.3,0.1,1.1,2.2,7
Career,NA,,NBA,,287,14,5320,3.2,8.2,0.393,1.4,4,0.352,1.8,4.2,0.433,2.2,2.9,0.769,0.8,2.7,3.5,2.1,0.8,0.2,1.4,2.5,10.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,PHO,NBA,,190,13,3743,3.2,8.1,0.399,1.5,4.2,0.371,1.7,3.9,0.429,2,2.7,0.759,0.8,2.5,3.4,2,0.9,0.2,1.4,2.8,10.1
1 season,NA,MEM,NBA,,53,0,547,2.6,7.6,0.339,1.1,4.7,0.222,1.5,2.8,0.535,0.9,1.1,0.765,0.8,3.5,4.3,1.3,0.3,0.1,1.1,2.2,7
1 season,NA,NOH,NBA,,44,1,1030,3.5,8.8,0.398,1.1,3.1,0.364,2.4,5.7,0.417,3.6,4.5,0.792,0.6,2.9,3.5,2.7,0.8,0.2,1.5,1.7,11.7
