Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,26,CHS,BAA,NA,59,NA,NA,NA,NA,0.289,NA,NA,0.707,NA,NA,NA,NA
1948-49,28,MNL,BAA,NA,59,NA,NA,NA,NA,0.343,NA,NA,0.718,NA,NA,NA,NA
1949-50,29,MNL,NBA,NA,61,NA,NA,NA,NA,0.291,NA,NA,0.75,NA,NA,NA,NA
1950-51,30,MNL,NBA,NA,63,NA,NA,NA,NA,0.307,NA,NA,0.631,NA,NA,NA,NA
Career,NA,,TOT,NA,242,NA,NA,NA,NA,0.306,NA,NA,0.702,NA,NA,NA,NA
,NA,,NBA,NA,124,NA,NA,NA,NA,0.299,NA,NA,0.688,NA,NA,NA,NA
,NA,,BAA,NA,118,NA,NA,NA,NA,0.31,NA,NA,0.711,NA,NA,NA,NA
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,MNL,BAA,NA,183,NA,NA,NA,NA,0.316,NA,NA,0.699,NA,NA,NA,NA
1 season,NA,CHS,BAA,NA,59,NA,NA,NA,NA,0.289,NA,NA,0.707,NA,NA,NA,NA
