,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2009-10,20,MIL,NBA,PG,7,249,.408,13.6,.658,.342,.117,.050,.150,.342,.468,.488,.643,.333,.333,.293,.135,.000,0,.417,.049,.000,0,0
2012-13,23,MIL,NBA,PG,4,133,.298,15.6,.509,.263,.123,.088,.035,.491,.379,.400,.286,.600,.000,.214,.364,.000,0,.500,.214,.333,0,0
2016-17,27,WAS,NBA,PG,13,178,.389,15.8,.639,.194,.139,.111,.222,.361,.522,.429,.200,.500,.750,.154,.000,.000,0,.500,.231,.000,0,0
2017-18,28,MIL,NBA,PG,1,5,.000,26.0,.000,.000,.000,.000,.000,1.000,,,,,,.000,,.000,0,,.000,,0,0
Career,,,NBA,,25,565,.372,14.6,.609,.293,.121,.070,.130,.391,.458,.460,.462,.467,.429,.238,.150,.000,0,.450,.131,.182,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,WAS,NBA,,13,178,.389,15.8,.639,.194,.139,.111,.222,.361,.522,.429,.200,.500,.750,.154,.000,.000,0,.500,.231,.000,0,0
3 seasons,,MIL,NBA,,12,387,.369,14.4,.603,.313,.117,.061,.112,.397,.444,.464,.524,.455,.300,.254,.188,.000,0,.444,.113,.250,0,0
