,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,33,MIL,NBA,C,18,577,.574,3.3,1.000,.588,.324,.088,.000,.000,.574,.625,.455,.667,,,.667,.162,9,,,,0,0
2002-03,35,MIL,NBA,C,6,76,.375,5.6,1.000,.500,.125,.375,.000,.000,.375,.500,1.000,.000,,,.667,.125,1,,,,0,0
2003-04,36,MIN,NBA,C,18,356,.500,3.4,1.000,.579,.289,.105,.026,.000,.500,.591,.364,.500,.000,,.632,.026,1,,,,0,0
2005-06,38,MIL,NBA,C,3,11,.000,14.0,1.000,.000,.000,1.000,.000,.000,.000,,,.000,,,,.000,0,,,,0,0
Career,,,NBA,,45,1020,.530,3.6,1.000,.574,.296,.122,.009,.000,.530,.606,.441,.429,.000,,.656,.113,11,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIL,NBA,,27,664,.545,3.7,1.000,.571,.299,.130,.000,.000,.545,.614,.478,.400,,,.667,.156,10,,,,0,0
1 season,,MIN,NBA,,18,356,.500,3.4,1.000,.579,.289,.105,.026,.000,.500,.591,.364,.500,.000,,.632,.026,1,,,,0,0
