Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1992-93,23,CHH,NBA,PF,9,9,348,10.2,18.3,0.557,0.2,0.6,0.25,10.1,17.7,0.568,6.2,7.8,0.788,2.9,6.5,9.3,4.5,0.8,0.3,2.9,4.1,26.7,NA,121,109
1994-95,25,CHH,NBA,PF,4,4,172,10.2,21.4,0.477,0.3,3,0.111,9.9,18.4,0.536,6.6,8.2,0.8,3.3,4.3,7.6,3.6,1.3,0.7,2,2.3,27.3,NA,118,113
1996-97,27,NYK,NBA,SF,9,9,295,8,14.3,0.558,1.1,3.1,0.353,6.8,11.1,0.617,5.9,7,0.842,2,4.6,6.7,4.3,1.3,0.2,2.8,5,23,NA,124,105
1997-98,28,NYK,NBA,SF,8,8,310,9.3,19.1,0.486,0.4,1.8,0.2,8.9,17.3,0.515,6.6,8.9,0.74,4.5,5,9.5,2.3,1.8,0.5,4.5,5.4,25.5,NA,104,105
1998-99,29,NYK,NBA,PF,20,20,683,7.2,16.9,0.426,2,6.8,0.293,5.2,10.1,0.516,2.6,3.8,0.674,1.8,6.2,8,2.6,1.7,0.1,2.7,5.3,19,NA,99,99
1999-00,30,NYK,NBA,PF,16,16,589,6.8,14.7,0.461,1.3,3.2,0.394,5.5,11.5,0.479,2.6,3.3,0.794,1.5,6.3,7.8,2.5,0.8,0.2,2.2,4.6,17.5,NA,103,104
Career,NA,,NBA,,66,66,2397,8.1,16.9,0.483,1.1,3.6,0.303,7.1,13.3,0.531,4.4,5.7,0.767,2.4,5.8,8.1,3.1,1.3,0.3,2.8,4.7,21.7,NA,109,104
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,NYK,NBA,,53,53,1877,7.5,16.2,0.467,1.3,4.3,0.317,6.2,11.9,0.52,3.8,5,0.756,2.2,5.8,8,2.8,1.4,0.2,2.9,5,20.2,NA,105,103
2 seasons,NA,CHH,NBA,,13,13,520,10.2,19.3,0.529,0.2,1.3,0.154,10,17.9,0.557,6.3,7.9,0.792,3,5.8,8.8,4.2,0.9,0.4,2.6,3.5,26.9,NA,120,110
