Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1966-67,23,NYK,NBA,PF,51,522,9.4,0.419,NA,0.503,NA,NA,NA,8.9,NA,NA,NA,NA,NA,-0.4,0.2,-0.2,-0.014
1967-68,24,NYK,NBA,PF,43,286,10.5,0.437,NA,0.453,NA,NA,NA,14.9,NA,NA,NA,NA,NA,-0.1,0.3,0.2,0.032
1968-69,25,PHO,NBA,PF,80,1319,13.1,0.52,NA,0.481,NA,NA,NA,13.4,NA,NA,NA,NA,NA,1.7,0.5,2.2,0.08
1969-70,26,PHO,NBA,PF,28,136,6.8,0.368,NA,0.2,NA,NA,NA,11.3,NA,NA,NA,NA,NA,-0.3,0.1,-0.3,-0.096
1970-71,27,VIR,ABA,PF,78,1838,19.1,0.568,0.003,0.342,NA,NA,16.7,12.6,NA,NA,15.7,19.9,NA,4,2.3,6.3,0.165
1971-72,28,VIR,ABA,PF,31,874,13.8,0.512,0.011,0.344,10.9,17.7,14.3,11,NA,NA,17.6,15.7,NA,0.6,1.3,1.9,0.105
1972-73,29,VIR,ABA,PF,69,1442,11.4,0.525,0.002,0.364,10.6,13.9,12.3,13.9,NA,NA,20.8,16.1,NA,1.1,1.4,2.5,0.082
Career,NA,,TOT,,380,6417,14,0.52,0.003,0.384,10.7,15.4,14.6,12.6,NA,NA,17.7,17.7,NA,6.5,6.1,12.6,0.095
,NA,,NBA,,202,2263,11.5,0.471,NA,0.458,NA,NA,NA,12.4,NA,NA,NA,NA,NA,0.8,1.1,2,0.042
,NA,,ABA,,178,4154,15.3,0.545,0.004,0.349,10.7,15.4,14.6,12.7,NA,NA,17.7,17.7,NA,5.7,5,10.7,0.123
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,VIR,ABA,,178,4154,15.3,0.545,0.004,0.349,10.7,15.4,14.6,12.7,NA,NA,17.7,17.7,NA,5.7,5,10.7,0.123
2 seasons,NA,PHO,NBA,,108,1455,12.5,0.501,NA,0.442,NA,NA,NA,13.2,NA,NA,NA,NA,NA,1.4,0.6,1.9,0.063
2 seasons,NA,NYK,NBA,,94,808,9.8,0.426,NA,0.484,NA,NA,NA,11,NA,NA,NA,NA,NA,-0.5,0.5,0,0.002
