Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980-81,23,SAS,NBA,PF,79,NA,1716,340,682,0.499,0,1,0,340,681,0.499,0.499,128,193,0.663,132,226,358,78,45,48,130,283,808
1981-82,24,TOT,NBA,PF,75,48,1904,351,662,0.53,0,1,0,351,661,0.531,0.53,118,156,0.756,140,311,451,73,33,60,100,257,820
1981-82,24,SAS,NBA,PF,21,17,504,94,194,0.485,0,0,NA,94,194,0.485,0.485,32,40,0.8,43,94,137,20,7,16,26,67,220
1981-82,24,CLE,NBA,PF,23,22,617,94,175,0.537,0,0,NA,94,175,0.537,0.537,35,44,0.795,43,82,125,22,6,17,24,73,223
1981-82,24,KCK,NBA,PF,31,9,783,163,293,0.556,0,1,0,163,292,0.558,0.556,51,72,0.708,54,135,189,31,20,27,50,117,377
1982-83,25,TOT,NBA,SF,79,8,1541,247,509,0.485,1,4,0.25,246,505,0.487,0.486,95,130,0.731,107,184,291,71,26,43,104,232,590
1982-83,25,KCK,NBA,SF,50,0,992,178,355,0.501,1,4,0.25,177,351,0.504,0.503,73,100,0.73,75,126,201,48,18,26,69,150,430
1982-83,25,PHI,NBA,SF,29,8,549,69,154,0.448,0,0,NA,69,154,0.448,0.448,22,30,0.733,32,58,90,23,8,17,35,82,160
1983-84,26,NJN,NBA,PF,72,4,818,127,256,0.496,0,1,0,127,255,0.498,0.496,92,126,0.73,53,85,138,40,24,18,59,141,346
Career,NA,,NBA,,305,60,5979,1065,2109,0.505,1,7,0.143,1064,2102,0.506,0.505,433,605,0.716,432,806,1238,262,128,169,393,913,2564
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,SAS,NBA,,100,17,2220,434,876,0.495,0,1,0,434,875,0.496,0.495,160,233,0.687,175,320,495,98,52,64,156,350,1028
2 seasons,NA,KCK,NBA,,81,9,1775,341,648,0.526,1,5,0.2,340,643,0.529,0.527,124,172,0.721,129,261,390,79,38,53,119,267,807
1 season,NA,NJN,NBA,,72,4,818,127,256,0.496,0,1,0,127,255,0.498,0.496,92,126,0.73,53,85,138,40,24,18,59,141,346
1 season,NA,PHI,NBA,,29,8,549,69,154,0.448,0,0,NA,69,154,0.448,0.448,22,30,0.733,32,58,90,23,8,17,35,82,160
1 season,NA,CLE,NBA,,23,22,617,94,175,0.537,0,0,NA,94,175,0.537,0.537,35,44,0.795,43,82,125,22,6,17,24,73,223
