Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Stanley Johnson,,1.8,0.6,0.5,0.4
D.J. White,92.7,1.8,0.8,0.6,0.4
Byron Houston,85.1,1.8,0.9,0.7,0.5
Jud Buechler,84.1,1.8,1.2,0.5,0.4
Pete Verhoeven,82.4,2.1,0.8,0.7,0.4
Billy Schaeffer,81.6,1.9,0.8,0.5,NA
Tellis Frank,79.1,2,0.6,0.3,0.1
Julian Wright,78.8,1.7,0.8,0.8,0.6
John Thomas,78.3,1.5,0.9,0.4,0.4
Tony Brown,77.5,1.8,1.3,0.5,0.2
Joe Kopicki,75.8,1.9,0.9,0.7,NA
