Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,23,PHI,NBA,SF,44,5,7.6,1,2.1,0.462,0,0.2,0.111,1,1.9,0.5,0.468,0.5,0.9,0.561,0.5,0.8,1.3,0.4,0.3,0,0.4,1.3,2.5
2007-08,24,TOT,NBA,SF,47,2,11.3,1.3,3,0.429,0.4,1.1,0.34,0.9,1.9,0.483,0.493,0.9,1.1,0.784,0.6,1.3,2,0.6,0.3,0.1,0.6,1.8,3.8
2007-08,24,DEN,NBA,SF,25,0,8.9,1,2.6,0.406,0.4,0.9,0.391,0.7,1.6,0.415,0.477,0.9,1.1,0.821,0.4,1.1,1.5,0.4,0.2,0,0.6,1.8,3.4
2007-08,24,MEM,NBA,SF,9,2,15.2,1.6,4,0.389,0.3,1.4,0.231,1.2,2.6,0.478,0.431,1,1.1,0.9,1.1,1.9,3,1.2,0.6,0.2,0.6,1.9,4.4
2007-08,24,HOU,NBA,SF,4,0,2.3,0.5,1,0.5,0,0,NA,0.5,1,0.5,0.5,0,0,NA,0,0.3,0.3,0,0.3,0,0.3,0.8,1
2007-08,24,MIA,NBA,SF,6,0,23.8,2.8,5.3,0.531,1,2.5,0.4,1.8,2.8,0.647,0.625,1.3,2.2,0.615,1.3,2.7,4,0.8,0.3,0,1.2,3,8
2007-08,24,SAS,NBA,SF,3,0,6.7,0.3,1.3,0.25,0,0.7,0,0.3,0.7,0.5,0.25,0,0,NA,0,0.7,0.7,0.3,0.7,0,0.3,0.3,0.7
Career,NA,,NBA,,91,7,9.5,1.1,2.6,0.442,0.2,0.7,0.306,0.9,1.9,0.491,0.483,0.7,1,0.685,0.6,1.1,1.6,0.5,0.3,0,0.5,1.6,3.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,PHI,NBA,,44,5,7.6,1,2.1,0.462,0,0.2,0.111,1,1.9,0.5,0.468,0.5,0.9,0.561,0.5,0.8,1.3,0.4,0.3,0,0.4,1.3,2.5
1 season,NA,DEN,NBA,,25,0,8.9,1,2.6,0.406,0.4,0.9,0.391,0.7,1.6,0.415,0.477,0.9,1.1,0.821,0.4,1.1,1.5,0.4,0.2,0,0.6,1.8,3.4
1 season,NA,MEM,NBA,,9,2,15.2,1.6,4,0.389,0.3,1.4,0.231,1.2,2.6,0.478,0.431,1,1.1,0.9,1.1,1.9,3,1.2,0.6,0.2,0.6,1.9,4.4
1 season,NA,MIA,NBA,,6,0,23.8,2.8,5.3,0.531,1,2.5,0.4,1.8,2.8,0.647,0.625,1.3,2.2,0.615,1.3,2.7,4,0.8,0.3,0,1.2,3,8
1 season,NA,HOU,NBA,,4,0,2.3,0.5,1,0.5,0,0,NA,0.5,1,0.5,0.5,0,0,NA,0,0.3,0.3,0,0.3,0,0.3,0.8,1
1 season,NA,SAS,NBA,,3,0,6.7,0.3,1.3,0.25,0,0.7,0,0.3,0.7,0.5,0.25,0,0,NA,0,0.7,0.7,0.3,0.7,0,0.3,0.3,0.7
