,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2001-02,25,DET,NBA,30:34,3,9,3,7,2,5,3,4,1,5,5,9,2,0,3,3,12,7.5
2003-04,27,MIL,NBA,32:22,6,11,4,8,3,3,2,4,1,6,6,10,2,0,3,4,17,24.4
2004-05,28,MIA,NBA,40:39,10,14,7,13,6,8,3,7,1,6,7,6,2,0,3,3,30,27.2
2005-06,29,CLE,NBA,28:01,3,5,2,4,1,3,3,3,1,4,4,2,1,0,1,3,8,6.1
2006-07,30,CLE,NBA,19:31,2,6,2,5,1,1,3,3,1,2,3,4,0,0,0,3,9,7.6
2007-08,31,CLE,NBA,9:31,1,3,1,3,0,1,0,0,0,0,0,1,0,0,1,1,3,2.0
Career,,,,40:39,10,14,7,13,6,8,3,7,1,6,7,10,2,0,3,4,30,27.2
3 Seasons,,CLE,NBA,28:01,3,6,2,5,1,3,3,3,1,4,4,4,1,0,1,3,9,7.6
1 Season,,MIA,NBA,40:39,10,14,7,13,6,8,3,7,1,6,7,6,2,0,3,3,30,27.2
1 Season,,DET,NBA,30:34,3,9,3,7,2,5,3,4,1,5,5,9,2,0,3,3,12,7.5
1 Season,,MIL,NBA,32:22,6,11,4,8,3,3,2,4,1,6,6,10,2,0,3,4,17,24.4
