Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2016-17,19,PHO,NBA,SF,32,8,545,6,10.6,0.562,0.3,1,0.273,5.7,9.7,0.591,2.5,3.6,0.707,3.4,3.5,6.9,1.1,1.2,1.1,1.1,5.5,14.8,NA,124,115
2017-18,20,TOT,NBA,SF,20,8,245,4.3,10.8,0.396,0.6,3.7,0.167,3.7,7.1,0.514,3.3,4.9,0.667,4.3,3.5,7.7,1.8,0.8,2.6,1.4,4.9,12.4,NA,107,109
2017-18,20,PHO,NBA,SF,6,0,33,2.9,5.8,0.5,0,2.9,0,2.9,2.9,1,7.3,8.7,0.833,2.9,2.9,5.8,4.4,1.5,5.8,1.5,2.9,13.1,NA,141,109
2017-18,20,MIA,NBA,SF,14,8,212,4.5,11.6,0.388,0.7,3.8,0.188,3.8,7.8,0.485,2.6,4.3,0.611,4.5,3.6,8.1,1.4,0.7,2.1,1.4,5.2,12.3,NA,103,109
2018-19,21,MIA,NBA,SF,60,14,1153,6.8,13.7,0.494,1.2,3.9,0.308,5.6,9.9,0.567,3.1,5.2,0.607,4.1,6.1,10.2,1.6,1.9,1.8,1.8,5.2,17.9,NA,113,107
2019-20,22,MIA,NBA,SF,51,15,1249,6.5,12.7,0.514,1.3,4.9,0.27,5.2,7.7,0.67,3.4,4.4,0.779,2.2,6.1,8.3,2.2,2.1,1.4,1.1,4.5,17.8,NA,124,108
Career,NA,,NBA,,163,45,3192,6.3,12.5,0.505,1,3.8,0.276,5.3,8.8,0.603,3.2,4.6,0.69,3.3,5.5,8.7,1.8,1.8,1.6,1.4,5,16.9,NA,119,109
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,MIA,NBA,,125,37,2614,6.5,13,0.496,1.2,4.4,0.279,5.2,8.7,0.605,3.2,4.7,0.684,3.2,5.9,9.1,1.9,1.9,1.6,1.4,4.9,17.4,NA,117,108
2 seasons,NA,PHO,NBA,,38,8,578,5.8,10.4,0.56,0.2,1.1,0.231,5.5,9.3,0.598,2.8,3.9,0.723,3.4,3.5,6.9,1.2,1.2,1.4,1.2,5.4,14.7,NA,125,114
