Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,21,ATL,NBA,PF,74,NA,1448,238,502,0.474,NA,NA,NA,238,502,0.474,0.474,116,156,0.744,145,309,454,86,29,64,NA,197,592
1974-75,22,ATL,NBA,C,75,NA,2086,323,752,0.43,NA,NA,NA,323,752,0.43,0.43,132,183,0.721,236,461,697,152,51,51,NA,226,778
1975-76,23,ATL,NBA,C,66,NA,1762,251,542,0.463,NA,NA,NA,251,542,0.463,0.463,163,219,0.744,171,353,524,83,52,61,NA,214,665
1976-77,24,HOU,NBA,PF,74,NA,1239,167,338,0.494,NA,NA,NA,167,338,0.494,0.494,101,126,0.802,98,186,284,48,38,19,NA,175,435
1977-78,25,HOU,NBA,PF,82,NA,2476,346,777,0.445,NA,NA,NA,346,777,0.445,0.445,181,233,0.777,215,426,641,109,77,39,165,265,873
1978-79,26,HOU,NBA,C,81,NA,1215,181,395,0.458,NA,NA,NA,181,395,0.458,0.458,96,132,0.727,110,218,328,57,34,26,102,204,458
1979-80,27,TOT,NBA,PF,74,NA,1448,257,506,0.508,0,0,NA,257,506,0.508,0.508,146,201,0.726,114,254,368,101,28,42,122,207,660
1979-80,27,HOU,NBA,PF,21,NA,278,50,119,0.42,0,0,NA,50,119,0.42,0.42,27,36,0.75,31,41,72,11,4,5,20,48,127
1979-80,27,CHI,NBA,PF,53,NA,1170,207,387,0.535,0,0,NA,207,387,0.535,0.535,119,165,0.721,83,213,296,90,24,37,102,159,533
1980-81,28,CHI,NBA,PF,81,NA,1574,245,507,0.483,0,0,NA,245,507,0.483,0.483,125,161,0.776,127,274,401,99,40,36,126,200,615
1981-82,29,CHI,NBA,PF,78,18,2040,303,572,0.53,1,1,1,302,571,0.529,0.531,172,238,0.723,156,351,507,114,49,36,155,217,779
1982-83,30,TOT,NBA,PF,81,2,1164,148,325,0.455,0,1,0,148,324,0.457,0.455,79,123,0.642,84,225,309,62,31,23,101,172,375
1982-83,30,CHI,NBA,PF,49,2,673,86,193,0.446,0,0,NA,86,193,0.446,0.446,47,75,0.627,56,139,195,40,18,14,66,90,219
1982-83,30,LAL,NBA,PF,32,0,491,62,132,0.47,0,1,0,62,131,0.473,0.47,32,48,0.667,28,86,114,22,13,9,35,82,156
Career,NA,,NBA,,766,20,16452,2459,5216,0.471,1,2,0.5,2458,5214,0.471,0.472,1311,1772,0.74,1456,3057,4513,911,429,397,771,2077,6230
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,CHI,NBA,,261,20,5457,841,1659,0.507,1,1,1,840,1658,0.507,0.507,463,639,0.725,422,977,1399,343,131,123,449,666,2146
4 seasons,NA,HOU,NBA,,258,NA,5208,744,1629,0.457,0,0,NA,744,1629,0.457,0.457,405,527,0.769,454,871,1325,225,153,89,287,692,1893
3 seasons,NA,ATL,NBA,,215,NA,5296,812,1796,0.452,NA,NA,NA,812,1796,0.452,0.452,411,558,0.737,552,1123,1675,321,132,176,NA,637,2035
1 season,NA,LAL,NBA,,32,0,491,62,132,0.47,0,1,0,62,131,0.473,0.47,32,48,0.667,28,86,114,22,13,9,35,82,156
