Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,23,IND,NBA,SG,19,1,115,2.8,7.5,0.375,0.6,2.2,0.286,2.2,5.3,0.412,0.9,1.3,0.75,1.3,1.6,2.8,1.6,1.9,0.3,1.9,4.1,7.2
2003-04,24,IND,NBA,SG,81,2,1508,2.9,7.4,0.395,0.6,2.1,0.303,2.3,5.3,0.432,3,3.6,0.832,0.6,2.4,3,4.1,1.6,0.4,1.7,3.2,9.5
2004-05,25,IND,NBA,SG,77,14,2268,4.4,10.3,0.425,1.4,3.6,0.38,3,6.6,0.45,2.8,3.3,0.85,0.5,3.3,3.8,3.1,1,0.5,1.8,2.7,12.9
2005-06,26,IND,NBA,SG,68,2,1837,4.6,11,0.417,1.2,3.7,0.337,3.3,7.3,0.457,2.4,3.1,0.763,0.4,3,3.3,3,1.1,0.4,2.1,2.8,12.8
2006-07,27,TOT,NBA,SG,63,12,1319,3.8,9.9,0.385,1.1,3.5,0.305,2.7,6.4,0.429,2.6,3.1,0.833,0.6,2.5,3.1,2.9,1.3,0.4,1.8,3.3,11.2
2006-07,27,TOR,NBA,SG,39,9,870,4,10.3,0.386,1.3,4.2,0.317,2.6,6.1,0.432,3,3.6,0.83,0.7,2.7,3.4,2.3,1.2,0.5,2.1,3.3,12.3
2006-07,27,POR,NBA,SG,24,3,449,3.4,9,0.384,0.6,2.2,0.259,2.9,6.8,0.424,1.8,2.1,0.846,0.6,2.1,2.6,4.2,1.4,0.3,1.4,3.3,9.2
2007-08,28,NYK,NBA,SG,70,26,1757,3.7,8.9,0.421,1.5,3.9,0.385,2.2,4.9,0.45,1.9,2.6,0.746,0.6,2.9,3.5,3.4,1,0.4,1.6,2.9,10.9
2008-09,29,LAC,NBA,SF,52,21,1495,3.1,7.6,0.407,1.3,3.5,0.367,1.8,4.1,0.441,1.6,2,0.815,0.6,2.5,3,4.5,1.3,0.3,1.6,2.7,9.1
Career,NA,,NBA,,430,78,10299,3.8,9.3,0.411,1.2,3.4,0.353,2.6,5.8,0.445,2.4,2.9,0.809,0.5,2.8,3.3,3.5,1.2,0.4,1.8,2.9,11.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,IND,NBA,,245,19,5728,4,9.7,0.415,1.1,3.2,0.35,2.9,6.5,0.448,2.7,3.3,0.817,0.5,2.9,3.4,3.3,1.2,0.4,1.9,2.9,11.8
1 season,NA,NYK,NBA,,70,26,1757,3.7,8.9,0.421,1.5,3.9,0.385,2.2,4.9,0.45,1.9,2.6,0.746,0.6,2.9,3.5,3.4,1,0.4,1.6,2.9,10.9
1 season,NA,LAC,NBA,,52,21,1495,3.1,7.6,0.407,1.3,3.5,0.367,1.8,4.1,0.441,1.6,2,0.815,0.6,2.5,3,4.5,1.3,0.3,1.6,2.7,9.1
1 season,NA,TOR,NBA,,39,9,870,4,10.3,0.386,1.3,4.2,0.317,2.6,6.1,0.432,3,3.6,0.83,0.7,2.7,3.4,2.3,1.2,0.5,2.1,3.3,12.3
1 season,NA,POR,NBA,,24,3,449,3.4,9,0.384,0.6,2.2,0.259,2.9,6.8,0.424,1.8,2.1,0.846,0.6,2.1,2.6,4.2,1.4,0.3,1.4,3.3,9.2
