Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,20,PHI,NBA,SF,33,0,138,5.7,15.1,0.379,0.5,1,0.5,5.2,14.1,0.37,2.9,4.7,0.611,4.2,5.7,9.9,1.3,1.6,1.3,3.7,2.6,14.9
2000-01,21,PHI,NBA,SF,65,0,866,5.1,11.4,0.444,0.8,2.5,0.333,4.2,8.9,0.474,1.7,2.2,0.755,2.6,5.2,7.9,1.3,1.2,0.6,1.6,2.8,12.6
2001-02,22,CLE,NBA,PF,81,36,2142,4.8,10.8,0.448,0.9,2.8,0.31,3.9,7.9,0.498,0.8,1.1,0.662,2.1,6.1,8.2,1.9,1.3,0.8,1.3,3.1,11.3
2002-03,23,CLE,NBA,SF,80,12,2204,5,11.6,0.434,1.8,5.1,0.354,3.2,6.5,0.497,0.9,1.4,0.687,1.7,4.9,6.6,1.8,1.1,0.4,1.7,2.9,12.8
2003-04,24,BOS,NBA,SG,42,2,373,3.2,9.3,0.344,1.3,4.2,0.295,1.9,5,0.385,1.4,2.2,0.609,2.3,4.2,6.6,1.4,1.2,0.9,1.8,4.6,9
2004-05,25,LAL,NBA,SF,76,23,1830,4.1,9.6,0.432,2,5.1,0.391,2.1,4.4,0.48,1.1,1.5,0.733,2.1,5.7,7.8,1.3,0.9,0.5,1,3.2,11.4
2005-06,26,CHA,NBA,PF,76,42,2089,5.1,12.7,0.405,2,5.8,0.343,3.2,6.9,0.456,1.5,2.1,0.727,1.8,4.7,6.5,1.1,1.2,0.4,1.3,3.4,13.8
2006-07,27,PHO,NBA,SF,18,0,138,3.7,13.3,0.275,2.6,8.3,0.313,1,5,0.211,0.5,0.5,1,1.6,4.4,6,0.3,1.3,0.3,1.8,5,10.4
Career,NA,,NBA,,471,115,9780,4.8,11.2,0.424,1.6,4.5,0.349,3.2,6.8,0.474,1.1,1.6,0.704,2,5.3,7.3,1.5,1.1,0.5,1.4,3.2,12.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,CLE,NBA,,161,48,4346,4.9,11.2,0.441,1.4,4,0.338,3.6,7.2,0.498,0.8,1.3,0.675,1.9,5.5,7.4,1.9,1.2,0.6,1.5,3,12.1
2 seasons,NA,PHI,NBA,,98,0,1004,5.2,11.9,0.432,0.8,2.3,0.344,4.4,9.6,0.454,1.8,2.5,0.718,2.8,5.3,8.1,1.3,1.3,0.7,1.9,2.8,12.9
1 season,NA,CHA,NBA,,76,42,2089,5.1,12.7,0.405,2,5.8,0.343,3.2,6.9,0.456,1.5,2.1,0.727,1.8,4.7,6.5,1.1,1.2,0.4,1.3,3.4,13.8
1 season,NA,LAL,NBA,,76,23,1830,4.1,9.6,0.432,2,5.1,0.391,2.1,4.4,0.48,1.1,1.5,0.733,2.1,5.7,7.8,1.3,0.9,0.5,1,3.2,11.4
1 season,NA,BOS,NBA,,42,2,373,3.2,9.3,0.344,1.3,4.2,0.295,1.9,5,0.385,1.4,2.2,0.609,2.3,4.2,6.6,1.4,1.2,0.9,1.8,4.6,9
1 season,NA,PHO,NBA,,18,0,138,3.7,13.3,0.275,2.6,8.3,0.313,1,5,0.211,0.5,0.5,1,1.6,4.4,6,0.3,1.3,0.3,1.8,5,10.4
