Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Rich Jones,,6.6,6.3,5.8,1.9,1.8,1.5,0.6,0.2
Sonny Parker,86.7,7,6.8,6.2,3,2.3,1.6,NA,NA
Jay Vincent,84.2,6.5,6,5.6,3.4,2.8,1.9,1.1,-0.3
Greg Smith,81.9,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0
Chuck Hayes,81.0,6.4,6.3,4.4,3.6,2.4,1.6,1.5,0.6
Kenny Carr,80.5,6.7,5.8,5.1,3.8,2.9,2.1,1.1,0
Joe Ingles,80.5,7.6,6,5,2.3,2.2,NA,NA,NA
Kevin Gamble,80.3,8.3,6.7,6.6,3.4,2.1,1.9,1,-0.1
Jamal Mashburn,80.1,7.3,6.4,6.3,4.1,3.6,1.8,0.9,0.2
George Lynch,79.2,6.5,5.8,3.9,2.6,2.5,1.7,1.5,0.9
Dave Gambee,79.1,7,5.3,4.6,3.3,2.2,1.6,0,NA
