Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,26,NOB,ABA,SG,11,NA,38.9,6.5,15.8,0.414,0.4,1.4,0.267,6.2,14.5,0.428,0.425,3.4,4.5,0.74,NA,NA,4.9,1.6,NA,NA,3.3,4,16.8
1970-71,28,MMP,ABA,SG,4,NA,40.8,9.8,22,0.443,0.5,1.8,0.286,9.3,20.3,0.457,0.455,2.8,2.8,1,2,3.3,5.3,2.3,NA,NA,3,3.5,22.8
1971-72,29,DLC,ABA,SG,4,NA,34.3,7.5,15.8,0.476,0,0.8,0,7.5,15,0.5,0.476,4.5,5.3,0.857,NA,NA,4.8,2.8,NA,NA,1.5,4.8,19.5
1972-73,30,CAR,ABA,SG,12,NA,30.7,5.1,11.3,0.452,0.2,0.3,0.5,4.9,10.9,0.45,0.459,2.8,3.5,0.81,0.7,2.3,3,0.8,NA,NA,2.3,3.3,13.2
1974-75,32,SSL,ABA,SG,6,NA,21.3,3.7,7.5,0.489,0,0.2,0,3.7,7.3,0.5,0.489,1.8,2.8,0.647,0.2,2.2,2.3,2.3,0.3,0.5,1.3,2.5,9.2
Career,NA,,ABA,,37,NA,33.1,6.1,13.6,0.444,0.2,0.8,0.267,5.8,12.8,0.455,0.451,3,3.8,0.787,0.8,2.5,3.9,1.6,0.3,0.5,2.4,3.6,15.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"CAR,SSL",ABA,,18,NA,27.6,4.6,10,0.461,0.1,0.3,0.4,4.5,9.7,0.463,0.467,2.5,3.3,0.763,0.5,2.3,2.8,1.3,0.3,0.5,2,3.1,11.8
2 seasons,NA,"NOB,MMP",ABA,,15,NA,39.4,7.4,17.5,0.424,0.4,1.5,0.273,7,16,0.438,0.435,3.2,4.1,0.787,2,3.3,5,1.8,NA,NA,3.2,3.9,18.4
1 season,NA,DLC,ABA,,4,NA,34.3,7.5,15.8,0.476,0,0.8,0,7.5,15,0.5,0.476,4.5,5.3,0.857,NA,NA,4.8,2.8,NA,NA,1.5,4.8,19.5
