Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1956-57,23,NYK,NBA,,9,NA,91,7.1,19.4,0.367,3.2,4.7,0.667,13.5,0.8,5.9,17.4
1957-58,24,TOT,NBA,C,58,NA,898,7.7,18.7,0.413,2.6,3.7,0.688,12.1,1.5,4.3,18
1957-58,24,NYK,NBA,,12,NA,75,7.7,16.3,0.471,2.4,2.9,0.833,11.5,2.4,5.3,17.8
1957-58,24,DET,NBA,C,46,NA,823,7.7,18.9,0.409,2.6,3.8,0.678,12.1,1.4,4.2,18.1
1958-59,25,DET,NBA,PF,72,NA,2058,7,16.9,0.413,4,5.3,0.762,10.4,1.5,3.4,18
1959-60,26,CIN,NBA,C,75,NA,2066,6.6,16.9,0.393,4.2,5.9,0.716,10.9,3.6,4,17.5
1960-61,27,TOT,NBA,C,79,NA,2064,6.3,16.3,0.386,3.6,5,0.718,11.8,3.2,4.8,16.2
1960-61,27,CIN,NBA,C,48,NA,1140,6.4,16.1,0.395,3.7,5.1,0.731,13.4,3.4,4.7,16.5
1960-61,27,NYK,NBA,C,31,NA,924,6.2,16.4,0.374,3.5,4.9,0.701,9.7,2.9,4.8,15.8
1961-62,28,NYK,NBA,C,76,NA,2195,6.6,16.9,0.392,1.6,2.8,0.571,7.9,2.6,4.2,14.8
1962-63,29,STL,NBA,C,73,NA,1420,5.3,13.4,0.4,1.4,2.6,0.554,8.1,2.6,4.4,12.1
Career,NA,,NBA,,442,NA,10792,6.6,16.5,0.398,3,4.3,0.694,10.1,2.6,4.2,16.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,NYK,NBA,,128,NA,3285,6.5,16.8,0.388,2.2,3.4,0.633,8.7,2.6,4.5,15.2
2 seasons,NA,CIN,NBA,,123,NA,3206,6.5,16.6,0.394,4,5.6,0.721,11.8,3.5,4.2,17.1
2 seasons,NA,DET,NBA,,118,NA,2881,7.2,17.5,0.411,3.6,4.9,0.744,10.9,1.4,3.6,18
1 season,NA,STL,NBA,,73,NA,1420,5.3,13.4,0.4,1.4,2.6,0.554,8.1,2.6,4.4,12.1
