Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1954-55,22,SYR,NBA,C,11,363,14.9,0.427,0.404,NA,NA,NA,7.1,NA,0,0.7,0.7,0.091
1955-56,23,SYR,NBA,C,8,213,15.5,0.486,0.429,NA,NA,NA,8.2,NA,0.3,0.1,0.4,0.101
1956-57,24,SYR,NBA,C,5,162,24.5,0.489,0.446,NA,NA,NA,7.3,NA,0.4,0.3,0.7,0.208
1957-58,25,SYR,NBA,C,3,116,22.1,0.397,0.327,NA,NA,NA,5.1,NA,0,0.3,0.3,0.114
1958-59,26,SYR,NBA,C,9,312,13.5,0.415,0.232,NA,NA,NA,10.7,NA,-0.1,0.1,0,-0.007
1959-60,27,SYR,NBA,C,3,104,9.9,0.364,0.235,NA,NA,NA,11.7,NA,-0.2,0,-0.2,-0.073
1960-61,28,SYR,NBA,C,8,210,15.2,0.387,0.261,NA,NA,NA,14,NA,-0.2,0.3,0.1,0.013
1961-62,29,SYR,NBA,C,5,193,15.9,0.391,0.073,NA,NA,NA,9.1,NA,-0.3,0.3,0,0.008
1962-63,30,SYR,NBA,C,5,187,14.6,0.491,0.35,NA,NA,NA,6.1,NA,0.1,0.1,0.2,0.045
1963-64,31,PHI,NBA,C,5,185,19.5,0.517,0.241,NA,NA,NA,13.6,NA,0.4,0,0.4,0.113
1964-65,32,PHI,NBA,C,11,181,12,0.413,0.313,NA,NA,NA,21.2,NA,-0.1,0.2,0.1,0.015
1965-66,33,BAL,NBA,C,3,49,5,0.21,0.182,NA,NA,NA,9.2,NA,-0.2,0,-0.1,-0.127
Career,NA,,NBA,,76,2275,15.6,0.431,0.293,NA,NA,NA,10.3,NA,0,2.5,2.5,0.053
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11 seasons,NA,"SYR,PHI",NBA,,73,2226,15.8,0.433,0.294,NA,NA,NA,10.3,NA,0.2,2.4,2.7,0.057
1 season,NA,BAL,NBA,,3,49,5,0.21,0.182,NA,NA,NA,9.2,NA,-0.2,0,-0.1,-0.127
