Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Jason Kidd,,11.3,10.1,9.6,9.3,8.9,8.9,8.5,8.5,8.1,8,7.2,7.2,6.4,5.9,5.4,4.4,4.3,3.7,3,NA,NA
Ray Allen,89.9,13.7,11.1,10.7,10.1,10,9.7,9.5,9.1,8.9,7.9,7,6.9,6.3,5.4,5.2,4.9,4.7,4.1,NA,NA,NA
Tony Parker,85.9,9.6,9.6,9.3,8.6,8.2,8.1,7.7,7.5,7.1,7,5.9,5.8,4.1,3.8,3.6,3,1.4,0.9,NA,NA,NA
Vince Carter,85.2,12.9,11.8,10.5,9.4,9.3,7.7,7.5,7.4,7,6,6,5,4.3,4.2,4,3.8,2.9,1.9,1.8,1.2,1
Jeff Hornacek,84.8,11.6,10.2,10.2,10.1,9.7,9.5,8.7,7.7,6.9,6.5,6.3,5.3,5,1.2,NA,NA,NA,NA,NA,NA,NA
Hal Greer,84.4,11.2,9.9,9.5,8.5,8.2,8.1,7.9,7.6,6.6,6.2,5.8,5.1,4.5,3.5,0.1,NA,NA,NA,NA,NA,NA
Maurice Cheeks,84.3,10.6,9.4,9,8.6,8.5,8.3,7.9,7.9,7.3,7.1,5.3,5.2,4.9,2.1,1.3,NA,NA,NA,NA,NA,NA
Steve Nash,83.5,12.6,12.4,11.6,10.9,10.5,9.9,9.9,8.8,8.4,7.9,7.3,5.9,4.8,4.3,3,1,0.7,0.1,NA,NA,NA
Eddie Jones,82.1,10.5,10.1,10.1,9.6,9.1,8,7.9,7.2,6.8,6,6,5,3.1,1.1,NA,NA,NA,NA,NA,NA,NA
Jason Terry,80.4,10.8,9.6,8.6,8.6,8.5,7.4,7.3,6.5,6.5,5.3,5.1,4,3.8,3.6,2.1,1.9,1.5,0.7,0.2,NA,NA
Manu Ginóbili,79.9,11.1,11,10.6,9.9,9.7,9.1,8.8,5.7,5,4.5,4.2,4.2,3.8,3.7,3,2.2,NA,NA,NA,NA,NA
